6	167966046	167969113	0	2	0	2
4	150302793	150310228	0	7	0	7
4	88749034	88749770	0	1	0	1
12	56172705	56172936	0	19	0	25
16	78386949	78424869	0	22	0	22
19	47904382	47915128	0	4	0	4
1	27366491	27366594	0	1	0	1
7	151055097	151055276	0	82	0	82
2	189663955	189665375	0	61	0	64
2	38843211	38847018	0	27	0	27
9	137016472	137016573	0	22	0	22
6	109153950	109155229	0	13	0	13
2	37929730	37974039	0	15	0	15
15	89312973	89314611	0	162	0	173
2	36544499	36546983	0	513	0	517
20	17607263	17607945	0	3	0	3
10	73575676	73575797	0	2	0	2
19	4706789	4714080	0	10	0	10
5	160422404	160422655	0	6	0	6
22	31105287	31105657	0	173	0	188
19	32617634	32619259	0	32	0	32
11	108249103	108250700	0	7	0	7
9	19059002	19060087	0	80	0	80
22	20709380	20709907	0	52	0	52
21	46286744	46286869	0	1	0	1
11	837619	838132	0	13	0	13
9	5081862	5089673	0	2	0	2
5	88731902	88749069	0	2	0	2
5	88203751	88203786	0	1	0	1
3	94003909	94035330	0	21	0	21
20	25320319	25323324	0	222	0	229
17	76173791	76212363	0	12	0	12
1	149455578	149463592	0	2	0	2
17	2240993	2244657	0	2	0	2
1	155325673	155326579	0	5	0	5
1	154341063	154342479	0	158	0	158
1	11796400	11800211	0	16	0	16
16	29454111	29454190	0	53	0	53
7	31837301	31837869	0	176	0	187
4	47884438	47885497	0	13	0	13
2	74425238	74425416	0	347	0	357
2	85844555	85846376	0	9	0	9
17	30792573	30793449	0	51	0	51
6	83054239	83057825	0	8	0	9
3	47511227	47513222	0	4	0	4
2	10791926	10793095	0	1589	0	1616
19	49808824	49811362	0	4	0	4
7	98899768	98900623	0	19	0	19
19	40775212	40775536	0	32	0	32
9	137588719	137589403	0	1	0	1
5	66013639	66014668	0	19	0	20
5	78216238	78225541	0	118	0	121
11	120429518	120429711	0	38	0	38
2	54526567	54612160	0	1	0	1
X	2910794	2915555	0	9	0	9
4	70820862	70824293	0	217	0	220
10	93894161	93898570	0	19	0	19
15	25679975	25680120	0	1	0	1
7	45751647	45756908	0	3	0	3
3	121807444	121808915	0	40	0	40
1	181052511	181053572	0	3	0	3
14	45118126	45120886	0	431	0	439
16	20840469	20844628	0	15	0	15
9	136726417	136726686	0	7	0	7
14	90657279	90658303	0	56	0	56
1	9689722	9691466	0	4	0	4
16	17158910	17198211	0	2	0	2
7	92397860	92398211	0	23	0	23
4	70820862	70824298	0	3	0	3
1	180803612	180806061	0	74	0	74
10	33197710	33202911	0	18	0	18
15	75368199	75368482	0	75	0	75
11	64770054	64770255	0	716	0	728
16	68181531	68183239	0	8	0	8
