Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
14:22829941-22830052	MRPL52	14:22830050-22830052	TSS|A3SS	2	2	-	TSS.ENST00000355151	73.15	3.23440e-02	3.23440e-02	0|0	76.865671641791|69.4267515923567	14_22829941_22830052_S_TSS.ENST00000355151_1
16:16333885-16340305	PKD1P1	16:16335861-16336137	SES	2	2	-	ENST00000534258	69.90	2.28607e-02	2.28607e-02	0|0	72.4137931034483|67.3913043478261	16_16333885_16340305_W_ENST00000534258_1
1:120807710-120814828	NBPF26	1:120808545-120808759	MES	2	2	-	ENST00000611287	63.08	1.55242e-02	1.55242e-02	38.4615384615385|35.3846153846154	100|100	1_120807710_120814828_W_ENST00000611287_1
22:20052585-20055942	TANGO2	22:20053437-20053551	SES	2	2	-	ENST00000327374	63.02	3.67882e-02	3.67882e-02	40.625|33.3333333333333	100|100	22_20052585_20055942_W_ENST00000327374_1
1:40040784-40059336	CAP1	1:40059334-40059336	TSS|A3SS	2	2	-	TSS.ENST00000372802	58.34	4.44726e-02	4.44726e-02	37.7777777777778|37.2093023255814	100|91.6666666666667	1_40040784_40059336_S_TSS.ENST00000372802_1
1:204532247-204538208	MDM4	1:204537430-204537497	SES	2	2	-	ENST00000367182	58.08	1.63214e-01	1.63214e-01	11.1111111111111|12.1951219512195	85|54.4715447154472	1_204532247_204538208_W_ENST00000367182_1
15:85655788-85664562	AKAP13	15:85658537-85658590	MXS	2	2	-	ENST00000394518	57.96	3.05094e-01	3.05094e-01	13.3333333333333|0	95.9183673469388|33.3333333333333	15_85655788_85664562_W_ENST00000394518_1
19:27793610-27797753	AC006504.5	19:27793610-27793650	TSS|A5SS	2	2	-	TSS.ENST00000585917	53.98	2.92057e-01	2.92057e-01	0|60.4651162790698	68.4210526315789|100	19_27793610_27797753_S_TSS.ENST00000585917_1
12:52243138-52245411	KRT7	12:52243138-52244394	A5SS	2	2	-	Ex.ENST00000331817	53.43	3.24809e-01	3.24809e-01	0|0	23.5294117647059|83.3333333333333	12_52243138_52245411_S_Ex.ENST00000331817_1
16:89716795-89717343	VPS9D1-AS1	16:89716795-89716904	A5SS	2	2	-	Ex.TSS.ENST00000562866	53.29	3.64443e-01	3.64443e-01	72|0	100|78.5714285714286	16_89716795_89717343_S_Ex.TSS.ENST00000562866_1
16:89716638-89717343	VPS9D1-AS1	16:89716638-89716904	TSS|A5SS	2	2	-	TSS.ENST00000562866	53.29	3.64443e-01	3.64443e-01	72|0	100|78.5714285714286	16_89716638_89717343_S_TSS.ENST00000562866_1
17:44187744-44189021	TMUB2	17:44187744-44188009	A5SS	2	2	-	Ex.ENST00000538716	51.49	1.25533e-01	1.25533e-01	12.1951219512195|0	71.4285714285714|43.75	17_44187744_44189021_S_Ex.ENST00000538716_1
17:44187432-44189021	TMUB2	17:44187432-44188009	A5SS	2	2	-	Ex.TSS.ENST00000588413	51.49	1.25533e-01	1.25533e-01	12.1951219512195|0	71.4285714285714|43.75	17_44187432_44189021_S_Ex.TSS.ENST00000588413_1
17:44187401-44189021	TMUB2	17:44187401-44188009	A5SS	2	2	-	Ex.TSS.ENST00000589785	51.49	1.25533e-01	1.25533e-01	12.1951219512195|0	71.4285714285714|43.75	17_44187401_44189021_S_Ex.TSS.ENST00000589785_1
17:44187110-44189021	TMUB2	17:44187110-44188009	A5SS	2	2	-	Ex.TSS.ENST00000357984	51.49	1.25533e-01	1.25533e-01	12.1951219512195|0	71.4285714285714|43.75	17_44187110_44189021_S_Ex.TSS.ENST00000357984_3
20:25673852-25678074	ZNF337-AS1	20:25674008-25674896	IR	2	2	-	ENST00000414393	50.60	1.17282e-01	1.17282e-01	57.1428571428571|33.3333333333333	91.6666666666667|100	20_25674008_25674896_R_ENST00000414393_1
3:40457475-40457897	RPL14	3:40457890-40457897	A3SS	2	2	-	Ex.TSS.ENST00000396203	50.00	5.00000e-01	5.00000e-01	100|0	100|100	3_40457475_40457897_S_Ex.TSS.ENST00000396203_1
11:47408663-47410086	SLC39A13	11:47408663-47409119	A5SS	2	2	-	Ex.TSS.ENST00000362021	49.47	5.03393e-01	5.03393e-01	1.06382978723404|0	0|100	11_47408663_47410086_S_Ex.TSS.ENST00000362021_1
16:68311100-68312041	PRMT7	16:68311100-68311111	TSS|A5SS	2	2	-	TSS.ENST00000564441	48.53	2.82493e-01	2.82493e-01	40.9090909090909|9.09090909090909	47.0588235294118|100	16_68311100_68312041_S_TSS.ENST00000564441_1
