Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
12:57519163-57519259	MIR616	12:57521738-57517705	IR	2	2	-	ENST00000385293	97.70	4.15250e-03	4.15250e-03	1.66666666666667|2.94117647058824	100|100	12_57521738_57517705_R_ENST00000385293_1
8:143684482-143685067	ZNF707	8:143684543-143684623	IR	2	2	-	ENST00000532571	95.70	2.53264e-03	2.53264e-03	0|3.33333333333333	100|94.7368421052632	8_143684543_143684623_R_ENST00000532571_1
21:43420438-43420457	SIK1	21:43420458-43419858	IR	2	2	-	ENST00000644689	94.90	3.39219e-04	3.39219e-04	0|2.4390243902439	97.3684210526316|94.8717948717949	21_43420458_43419858_R_ENST00000644689_1
15:100566914-100570117	LINS1	15:100570632-100569897	IR	2	2	-	ENST00000314742	94.74	3.53314e-02	3.53314e-02	0|10.5263157894737	100|100	15_100570632_100569897_R_ENST00000314742_1
16:4257186-4258249	TFAP4	16:4260246-4257185	IR	2	2	-	ENST00000204517	94.23	3.21604e-02	3.21604e-02	0.662251655629139|1.19760479041916	100|90.3225806451613	16_4260246_4257185_R_ENST00000204517_1
16:4257186-4258249	TFAP4	16:4260246-4258188	IR	2	2	-	ENST00000204517	93.96	2.81460e-02	2.81460e-02	1.96078431372549|1.78571428571429	100|91.6666666666667	16_4260246_4258188_R_ENST00000204517_1
15:40339588-40339689	CCDC9B	15:40340016-40339587	IR	2	2	-	ENST00000557973	93.46	4.51240e-03	4.51240e-03	7.20720720720721|5.88235294117647	100|100	15_40340016_40339587_R_ENST00000557973_1
8:93740121-93740773	RBM12B-AS1	8:93740990-93737306	IR	2	2	-	ENST00000623283	92.89	1.44577e-04	1.44577e-04	5.55555555555556|5.12820512820513	98.1308411214953|98.3333333333333	8_93740990_93737306_R_ENST00000623283_1
1:27552496-27552929	AHDC1	1:27552930-27552038	IR	2	2	-	ENST00000490295	92.86	2.08747e-02	2.08747e-02	3.38983050847458|4.22535211267606	100|93.3333333333333	1_27552930_27552038_R_ENST00000490295_1
8:143684482-143685067	ZNF707	8:143684543-143684755	IR	2	2	-	ENST00000532571	92.68	8.82917e-03	8.82917e-03	0|9.375	100|94.7368421052632	8_143684543_143684755_R_ENST00000532571_1
15:40339588-40339689	CCDC9B	15:40340016-40339511	IR	2	2	-	ENST00000557973	92.68	7.92738e-04	7.92738e-04	7.20720720720721|7.43801652892562	100|100	15_40340016_40339511_R_ENST00000557973_1
21:43421112-43421133	SIK1	21:43421134-43420437	IR	2	2	-	ENST00000478426	92.66	1.32679e-02	1.32679e-02	0|4.54545454545455	94.5736434108527|95.2941176470588	21_43421134_43420437_R_ENST00000478426_1
17:46033099-46033192	KANSL1	17:46033513-46033079	IR	2	2	-	ENST00000576137	92.44	1.51726e-02	1.51726e-02	0|1.88679245283019	90|96.7741935483871	17_46033513_46033079_R_ENST00000576137_1
21:43421112-43421133	SIK1	21:43421134-43420233	IR	2	2	-	ENST00000478426	92.16	7.28974e-03	7.28974e-03	0|4.54545454545455	93.6363636363636|95.2380952380952	21_43421134_43420233_R_ENST00000478426_1
1:100083563-100085434	SASS6	1:100084472-100057989	IR	2	2	-	ENST00000287482	92.11	3.19925e-02	3.19925e-02	3.27868852459016|0	87.5|100	1_100084472_100057989_R_ENST00000287482_1
3:129396218-129396425	RPL32P3	3:129397110-129396217	IR	2	2	-	ENST00000359025	92.06	1.42351e-02	1.42351e-02	10|5.88235294117647	100|100	3_129397110_129396217_R_ENST00000359025_1
9:129641083-129641282	AL590369.1	9:129642166-129640540	IR	2	2	-	ENST00000455074	91.96	2.74773e-02	2.74773e-02	1.5748031496063|1.68067226890756	97.5609756097561|89.6103896103896	9_129642166_129640540_R_ENST00000455074_1
9:129641083-129641282	AL590369.1	9:129642170-129640540	IR	2	2	-	ENST00000455074	91.91	2.71705e-02	2.71705e-02	1.5748031496063|1.68067226890756	97.4683544303797|89.6103896103896	9_129642170_129640540_R_ENST00000455074_1
1:27553299-27553304	AHDC1	1:27558531-27553298	IR	2	2	-	ENST00000643219	91.88	1.29904e-02	1.29904e-02	0|0	93.75|90	1_27558531_27553298_R_ENST00000643219_1
17:46033099-46033192	KANSL1	17:46033470-46033079	IR	2	2	-	ENST00000576137	91.75	1.37067e-02	1.37067e-02	2.7027027027027|1.88679245283019	91.6666666666667|96.4285714285714	17_46033470_46033079_R_ENST00000576137_1
9:129641083-129641282	AL590369.1	9:129642125-129640540	IR	2	2	-	ENST00000455074	91.58	2.59029e-02	2.59029e-02	1.5748031496063|2.5	97.6190476190476|89.6103896103896	9_129642125_129640540_R_ENST00000455074_1
8:93740121-93740773	RBM12B-AS1	8:93741018-93737306	IR	2	2	-	ENST00000623283	91.36	3.52137e-03	3.52137e-03	7.60869565217391|6.32911392405063	98.2300884955752|98.4375	8_93741018_93737306_R_ENST00000623283_1
17:45267113-45267466	MAP3K14-AS1	17:45271222-45267405	IR	2	2	-	ENST00000585346	91.27	5.69955e-03	5.69955e-03	0|3.75	96.551724137931|89.7435897435898	17_45271222_45267405_R_ENST00000585346_1
16:21424763-21425136	NPIPB3	16:21425323-21424978	IR	2	2	-	ENST00000543368	91.17	3.08783e-03	3.08783e-03	8.38709677419355|9.27152317880795	100|100	16_21425323_21424978_R_ENST00000543368_1
19:334115-334542	MIER2	19:344816-334399	IR	2	2	-	ENST00000587966	91.13	1.42109e-03	1.42109e-03	5.12820512820513|4.03225806451613	94.5945945945946|96.8253968253968	19_344816_334399_R_ENST00000587966_1
