Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
14:105474906-105479124	CRIP2	14:105478450-105478507	MES	2	2	-	ENST00000329146	75.76	4.92831e-02	4.92831e-02	18.6666666666667|17.8217821782178	88|100	14_105474906_105479124_W_ENST00000329146_2
14:105474906-105479124	CRIP2	14:105478266-105478360	MES	2	2	-	ENST00000329146	68.22	1.40801e-01	1.40801e-01	18.6666666666667|10.8910891089109	66|100	14_105474906_105479124_W_ENST00000329146_1
19:38647908-38725723	ACTN4	19:38723614-38723722	MES	2	2	-	ENST00000252699	63.44	9.64839e-02	9.64839e-02	26.8722466960352|46.25	100|100	19_38647908_38725723_W_ENST00000252699_12
2:238064470-238081708	SCLY	2:238068065-238068165	MES	2	2	-	ENST00000254663	61.25	4.70155e-02	4.70155e-02	19.047619047619|28.2608695652174	85.1851851851852|84.6153846153846	2_238064470_238081708_W_ENST00000254663_1
1:146988950-146994331	NBPF12	1:146992712-146992884	MES	2	2	-	ENST00000579935	59.94	5.57677e-02	5.57677e-02	36.3636363636364|22.4719101123595	78.7234042553192|100	1_146988950_146994331_W_ENST00000579935_3
5:176388295-176388638	ARL10	5:176388976-176388234	IR (overlapping region)	2	2	-	ENST00000503175	58.04	1.86058e-02	1.86058e-02	31.5789473684211|38.4615384615385	91.6666666666667|94.4444444444444	5_176388976_176388234_R_ENST00000503175_1
12:6868988-6869257	TPI1	12:6869099-6869183	SES	2	2	-	ENST00000229270	55.26	6.33989e-02	6.33989e-02	50.259067357513|39.2156862745098	100|100	12_6868988_6869257_W_ENST00000229270_1
1:146988950-146994331	NBPF12	1:146991995-146992046	MES	2	2	-	ENST00000579935	54.30	1.53855e-01	1.53855e-01	50.6493506493506|13.4831460674157	100|72.7272727272727	1_146988950_146994331_W_ENST00000579935_2
22:36257408-36265150	APOL1	22:36261596-36261722	SES	2	2	-	ENST00000319136	53.23	1.72248e-02	1.72248e-02	48.2142857142857|45.3333333333333	100|100	22_36257408_36265150_W_ENST00000319136_1
19:38647908-38725723	ACTN4	19:38724157-38724339	MES	2	2	-	ENST00000252699	51.95	1.35358e-01	1.35358e-01	15.4185022026432|47.5	69.8412698412698|96.969696969697	19_38647908_38725723_W_ENST00000252699_14
11:66272461-66275803	RAB1B	11:66272461-66273075	A5SS	2	2	-	Ex.ENST00000311481	49.02	7.31327e-03	7.31327e-03	0|0	49.5798319327731|48.4536082474227	11_66272461_66275803_S_Ex.ENST00000311481_1
11:63974795-63976224	COX8A	11:63974795-63975148	A5SS	2	2	-	Ex.ENST00000314133	48.52	1.41329e-02	1.41329e-02	0|0	49.6|47.4452554744526	11_63974795_63976224_S_Ex.ENST00000314133_2
5:178142583-178142992	RMND5B	5:178142729-178142851	IR	2	2	-	ENST00000507575	48.39	1.72054e-01	1.72054e-01	39.2857142857143|36.6666666666667	72.7272727272727|100	5_178142729_178142851_R_ENST00000507575_1
12:52069976-52070483	ATG101	12:52070243-52070353	IR	2	2	-	ENST00000552544	47.26	1.59258e-02	1.59258e-02	14.2857142857143|8.33333333333333	60|57.1428571428571	12_52070243_52070353_R_ENST00000552544_1
19:38647908-38725723	ACTN4	19:38710257-38710342	MES	2	2	-	ENST00000252699	45.12	3.06873e-01	3.06873e-01	13.215859030837|66.25	100|69.6969696969697	19_38647908_38725723_W_ENST00000252699_7
5:132866646-132867035	UQCRQ	5:132866692-132866868	IR (overlapping region)	2	2	-	ENST00000378665	44.69	3.88429e-01	3.88429e-01	24.5901639344262|23.5294117647059	100|37.5	5_132866692_132866868_R_ENST00000378665_1
5:132866646-132867035	UQCRQ	5:132866688-132866868	IR (overlapping region)	2	2	-	ENST00000378665	44.69	3.88429e-01	3.88429e-01	24.5901639344262|23.5294117647059	100|37.5	5_132866688_132866868_R_ENST00000378665_1
14:105172939-105173261	NUDT14	14:105173698-105172937	IR (overlapping region)	2	2	-	ENST00000392568	44.34	3.59797e-02	3.59797e-02	45.4545454545455|40	92.3076923076923|81.8181818181818	14_105173698_105172937_R_ENST00000392568_1
2:197501239-197523623	HSPE1-MOB4	2:197501239-197503128	A5SS	2	2	-	Ex.ENST00000604458	44.12	5.00000e-01	5.00000e-01	0|0	88.2352941176471|0	2_197501239_197523623_S_Ex.ENST00000604458_1
19:14119509-14120665	ASF1B	19:14121709-14119508	IR	2	2	-	ENST00000263382	42.68	4.14762e-02	4.14762e-02	20|7.14285714285714	50|62.5	19_14121709_14119508_R_ENST00000263382_1
19:38647908-38725723	ACTN4	19:38721538-38721688	MES	2	2	-	ENST00000252699	42.31	2.78754e-01	2.78754e-01	37.8854625550661|77.5	100|100	19_38647908_38725723_W_ENST00000252699_11
12:54282487-54282647	HNRNPA1	12:54282573-54282647	A3SS	2	2	-	Ex.ENST00000330752	42.25	5.12755e-01	5.12755e-01	100|12	100|96.5020576131687	12_54282487_54282647_S_Ex.ENST00000330752_1
7:2728112-2731750	GNA12	7:2733502-2728560	IR (overlapping region)	2	2	-	ENST00000275364	41.86	1.94818e-01	1.94818e-01	70.3703703703704|43.5897435897436	97.6744186046512|100	7_2733502_2728560_R_ENST00000275364_1
8:141421388-141422345	PTP4A3	8:141421611-141422180	IR	2	2	-	ENST00000329397	41.52	5.21485e-02	5.21485e-02	41.025641025641|55.5555555555556	95|84.6153846153846	8_141421611_141422180_R_ENST00000329397_1
16:2519402-2519540	ATP6V0C	16:2519507-2519541	A3SS	2	2	-	Ex.TSS.ENST00000330398	41.44	3.54470e-02	3.54470e-02	0|0	43.75|39.1304347826087	16_2519402_2519540_S_Ex.TSS.ENST00000330398_1
1:155709825-155725381	DAP3	1:155721517-155721618	MES	2	2	-	ENST00000343043	41.38	1.43545e-01	1.43545e-01	35.1351351351351|44.4444444444444	93.1034482758621|69.2307692307692	1_155709825_155725381_W_ENST00000343043_2
