Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
11:66272461-66275803,RAB1B,11:66272461-66273075,A5SS,2,2,-,Ex.ENST00000311481,49.02,0.00731327,0.00731327,0|0,49.5798319327731|48.4536082474227,11_66272461_66275803_S_Ex.ENST00000311481_1,A5SS
1:26994613-26999846,TRNP1,1:26999825-26999847,A3SS,2,2,-,Ex.ENST00000522111,27.39,0.00264156,0.00264156,0|0,27.2727272727273|27.5,1_26994613_26999846_S_Ex.ENST00000522111_1,A3SS
11:65884935-65884998,FIBP,11:65884999-65884391,IR,2,2,NMD,ENST00000532229,25.72,0.00409377,0.00409377,18.1818181818182|15.7894736842105,41.6666666666667|43.75,11_65884999_65884391_R_ENST00000532229_1,IR
19:10395023-10395143,CDC37,19:10396204-10395020,IR,2,2,NMD,ENST00000588869,24.58,0.00528272,0.00528272,17.3913043478261|20,42.1052631578947|44.4444444444444,19_10396204_10395020_R_ENST00000588869_1,IR
11:72097292-72097914,LAMTOR1,11:72098416-72097291,IR (overlapping region),2,2,-,ENST00000278671,20.03,0.00886023,0.00886023,7.69230769230769|8.69565217391304,29.1666666666667|27.2727272727273,11_72098416_72097291_R_ENST00000278671_1,IR
2:61482625-61483091,XPO1,2:61483092-61482379,IR (overlapping region),2,2,-,ENST00000461407,-23.24,0.00968207,0.00968207,46.6666666666667|50,26.6666666666667|23.5294117647059,2_61483092_61482379_R_ENST00000461407_1,IR
16:88717023-88717211,PIEZO1,16:88717612-88717022,IR,2,2,-,ENST00000495568,-25.02,0.00539808,0.00539808,72.4137931034483|75,47.3684210526316|50,16_88717612_88717022_R_ENST00000495568_1,IR
19:14412610-14412678,DDX39A,19:14413183-14412550,IR,2,2,-,ENST00000590696,-26.18,0.00193553,0.00193553,37.5|38.4615384615385,11.1111111111111|12.5,19_14413183_14412550_R_ENST00000590696_1,IR
6:31730581-31731003,CLIC1,6:31730618-31728864,IR,2,2,-,ENST00000375779,-27.74,0.00185634,0.00185634,37.8378378378378|36.1111111111111,10|8.47457627118644,6_31730618_31728864_R_ENST00000375779_1,IR
14:49585298-49586049,RPS29,14:49586326-49585949,IR,2,2,-,ENST00000554075,-29.58,0.0097803,0.0097803,39.1304347826087|39.1304347826087,10|9.09090909090909,14_49586326_49585949_R_ENST00000554075_1,IR
19:2235463-2235828,PLEKHJ1,19:2235991-2235462,IR,2,2,-,ENST00000588356,-33.05,0.00970237,0.00970237,78.9473684210526|76.6666666666667,42.8571428571429|46.6666666666667,19_2235991_2235462_R_ENST00000588356_1,IR
17:42998472-42998748,RPL27,17:42998472-42998565,A5SS,2,2,-,Ex.TSS.ENST00000253788,-33.18,0.00042855,0.00042855,33.1623931623932|33.2070707070707,0|0,17_42998472_42998748_S_Ex.TSS.ENST00000253788_1,A5SS
17:42998416-42998748,RPL27,17:42998416-42998565,A5SS,2,2,-,Ex.TSS.ENST00000589037,-33.18,0.00042855,0.00042855,33.1623931623932|33.2070707070707,0|0,17_42998416_42998748_S_Ex.TSS.ENST00000589037_1,A5SS
7:44799875-44801299,PPIA,7:44801287-44801299,A3SS,2,2,-,Ex.TSS.ENST00000355968,-36.78,0.00915359,0.00915359,100|98.4848484848485,60.8870967741936|64.0394088669951,7_44799875_44801299_S_Ex.TSS.ENST00000355968_1,A3SS
19:3019431-3019773,TLE2,19:3019774-3019300,IR,2,2,-,ENST00000587770,-39.39,0.00371966,0.00371966,64.7058823529412|61.2903225806452,22.2222222222222|25,19_3019774_3019300_R_ENST00000587770_1,IR
1:201995696-202000327,ELF3-AS1,1:201996264-201999901,IR (overlapping region),2,2,-,ENST00000419190,-42.83,0.00364169,0.00364169,60|63.6363636363636,17.1428571428571|20.8333333333333,1_201996264_201999901_R_ENST00000419190_1,IR
1:155308914-155310205,FDPS,1:155309077-155309752,IR,2,2,-,ENST00000487002,-47.52,0.00503644,0.00503644,57.1428571428571|57.8947368421053,10|10,1_155309077_155309752_R_ENST00000487002_1,IR
