Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
17:44350341-44351549,GRN,17:44351037-44351163,MES,2,2,-,ENST00000053867,88.2,0.00105082,0.00105082,8.69565217391304|12.280701754386,97.3684210526316|100,17_44350341_44351549_W_ENST00000053867_3,Exon Skipping
1:151399981-151401906,PSMB4,1:151400589-151400763,IR,2,2,-,ENST00000476467,71.35,0.0018759,0.0018759,18.9655172413793|14.5348837209302,86.2068965517241|90,1_151400589_151400763_R_ENST00000476467_1,IR
19:7646249-7647872,STXBP2,19:7647248-7647724,IR,2,2,-,ENST00000595800,58.65,0.00937716,0.00937716,40|37.1428571428571,94.4444444444444|100,19_7647248_7647724_R_ENST00000595800_1,IR
19:1585055-1585214,MBD3,19:1592709-1585054,IR (overlapping region),2,2,-,ENST00000592965,51.3,0.00160703,0.00160703,37.7777777777778|40,90.9090909090909|89.4736842105263,19_1592709_1585054_R_ENST00000592965_1,IR
8:66919003-66922048,MCMDC2,8:66922393-66921986,IR,2,2,-,ENST00000422365,47.78,0.00960033,0.00960033,33.3333333333333|35.7142857142857,84.6153846153846|80,8_66922393_66921986_R_ENST00000422365_1,IR
19:1585055-1585214,MBD3,19:1586363-1585054,IR (overlapping region),2,2,-,ENST00000592965,46.14,0.0012926,0.0012926,46.1538461538462|45.4545454545455,91.304347826087|92.5925925925926,19_1586363_1585054_R_ENST00000592965_1,IR
17:7626782-7626793,SAT2,17:7627227-7626752,IR (overlapping region),2,2,-,ENST00000572224,43.23,0.00911211,0.00911211,39.1304347826087|45,82.3529411764706|88.2352941176471,17_7627227_7626752_R_ENST00000572224_1,IR
2:74471993-74472470,MRPL53,2:74473323-74472357,IR,2,2,-,ENST00000468875,39.04,0.00923559,0.00923559,48|52.7027027027027,87.8787878787879|90.9090909090909,2_74473323_74472357_R_ENST00000468875_1,IR
3:9797778-9801660,ARPC4-TTLL3,3:9800185-9800296,SES,2,2,-,ENST00000397256,37.83,0.00863163,0.00863163,62.962962962963|60,100|98.6301369863014,3_9797778_9801660_W_ENST00000397256_1,Exon Skipping
19:58386623-58388136,RPS5,19:58386623-58386924,A5SS,2,2,-,Ex.TSS.ENST00000596314,34.48,0.00689297,0.00689297,0|0,34.8534201954397|34.1067285382831,19_58386623_58388136_S_Ex.TSS.ENST00000596314_1,A5SS
17:82449901-82450254,CYBC1,17:82449957-82449173,IR,2,2,-,ENST00000582456,34.15,0.00683777,0.00683777,28.9473684210526|25,59.0909090909091|63.1578947368421,17_82449957_82449173_R_ENST00000582456_1,IR
11:67611719-67612265,NDUFV1,11:67611979-67612119,IR,2,2,-,ENST00000534352,33.1,0.0047935,0.0047935,16.6666666666667|13.7931034482759,46.6666666666667|50,11_67611979_67612119_R_ENST00000534352_1,IR
17:41758172-41758518,JUP,17:41758871-41758171,IR,2,2,-,ENST00000585793,32.18,0.00245142,0.00245142,14.2857142857143|12.5,46.1538461538462|45,17_41758871_41758171_R_ENST00000585793_1,IR
13:45338185-45338776,TPT1,13:45338777-45337197,IR,2,2,-,ENST00000309246,31.08,0.00207283,0.00207283,2.1505376344086|2.35294117647059,33.3333333333333|33.3333333333333,13_45338777_45337197_R_ENST00000309246_1,IR
