Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
20:10649636-10649695,MIR6870,20:10650258-10649521,IR,2,2,-,ENST00000615931,98.63,0.00884137,0.00884137,0|0,97.2602739726027|100,20_10650258_10649521_R_ENST00000615931_1,IR
20:10649636-10649695,MIR6870,20:10650361-10649521,IR,2,2,-,ENST00000615931,98.51,0.00964502,0.00964502,0|0,97.0149253731343|100,20_10650361_10649521_R_ENST00000615931_1,IR
17:4938154-4938429,SLC25A11,17:4938254-4938022,IR,2,2,-,ENST00000570543,95.35,0.00072261,0.00072261,4.76190476190476|4.54545454545455,100|100,17_4938254_4938022_R_ENST00000570543_1,IR
6:110888286-110890356,AMD1,6:110888984-110890253,IR,2,2,-,ENST00000612642,93.72,0.00418234,0.00418234,3.44827586206897|0,98.4615384615385|92.4242424242424,6_110888984_110890253_R_ENST00000612642_1,IR
20:10647981-10648110,JAG1,20:10648111-10646938,IR,2,2,-,ENST00000620743,93.28,0.0099098,0.0099098,4|5.08474576271187,100|95.6521739130435,20_10648111_10646938_R_ENST00000620743_1,IR
19:651385-651855,RNF126,19:652297-651384,IR,2,2,-,ENST00000591394,92.73,0.00346454,0.00346454,8.33333333333333|4.16666666666667,100|97.9591836734694,19_652297_651384_R_ENST00000591394_1,IR
20:10647981-10648110,JAG1,20:10648029-10646938,IR,2,2,-,ENST00000620743,92.17,0.00375243,0.00375243,4|6.66666666666667,100|95,20_10648029_10646938_R_ENST00000620743_1,IR
19:651385-651855,RNF126,19:652297-651691,IR,2,2,-,ENST00000591394,91.89,0.00947106,0.00947106,8.33333333333333|0,94|98.1132075471698,19_652297_651691_R_ENST00000591394_1,IR
11:103089271-103089309,DCUN1D5,11:103092178-103089226,IR,2,2,-,ENST00000529076,90.21,0.000354935,0.000354935,7.69230769230769|10,100|98.1132075471698,11_103092178_103089226_R_ENST00000529076_1,IR
11:103089271-103089309,DCUN1D5,11:103092162-103089226,IR,2,2,-,ENST00000529076,90.13,0.00032288,0.00032288,7.69230769230769|10,100|97.9591836734694,11_103092162_103089226_R_ENST00000529076_1,IR
1:228102242-228102688,C1orf35,1:228103050-228102241,IR,2,2,-,ENST00000491293,90.09,0.0043248,0.0043248,9.30232558139535|10.5263157894737,100|100,1_228103050_228102241_R_ENST00000491293_1,IR
12:46370799-46371379,SLC38A2,12:46371434-46370775,IR,2,2,-,ENST00000553252,89.97,0.00382256,0.00382256,2.7027027027027|3.7037037037037,94.5454545454545|91.7910447761194,12_46371434_46370775_R_ENST00000553252_1,IR
17:7236617-7236767,PHF23,17:7237478-7236289,IR,2,2,-,ENST00000570753,89.91,8.36131e-05,8.36131e-05,10|9.09090909090909,98.9010989010989|100,17_7237478_7236289_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236636,IR,2,2,-,ENST00000570753,89.81,0.000172521,0.000172521,10|9.09090909090909,98.7179487179487|100,17_7237478_7236636_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236358,IR,2,2,-,ENST00000570753,89.81,0.00018452,0.00018452,10|9.09090909090909,98.7012987012987|100,17_7237478_7236358_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236616,IR,2,2,-,ENST00000570753,89.78,0.000227616,0.000227616,10|9.09090909090909,98.6486486486486|100,17_7237478_7236616_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236518,IR,2,2,-,ENST00000570753,89.76,0.000263431,0.000263431,10|9.09090909090909,98.6111111111111|100,17_7237478_7236518_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236480,IR,2,2,-,ENST00000570753,89.74,0.000306205,0.000306205,10|9.09090909090909,98.5714285714286|100,17_7237478_7236480_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236380,IR,2,2,-,ENST00000570753,89.74,0.000306205,0.000306205,10|9.09090909090909,98.5714285714286|100,17_7237478_7236380_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7236428,IR,2,2,-,ENST00000570753,89.73,0.000330611,0.000330611,10|9.09090909090909,98.5507246376812|100,17_7237478_7236428_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7235933,IR,2,2,-,ENST00000570753,89.65,0.00057718,0.00057718,10|9.09090909090909,98.3870967741936|100,17_7237478_7235933_R_ENST00000570753_1,IR
17:7236617-7236767,PHF23,17:7237478-7235929,IR,2,2,-,ENST00000570753,89.65,0.00057718,0.00057718,10|9.09090909090909,98.3870967741936|100,17_7237478_7235929_R_ENST00000570753_1,IR
9:72356946-72357056,ZFAND5,9:72359522-72356930,IR,2,2,-,ENST00000376956,89.6,0.000285069,0.000285069,5.88235294117647|3.77358490566038,93.5294117647059|95.3216374269006,9_72359522_72356930_R_ENST00000376956_1,IR
9:72356946-72357056,ZFAND5,9:72359522-72356945,IR,2,2,-,ENST00000376956,89.4,0.00561497,0.00561497,9.09090909090909|6.06060606060606,97.4358974358974|96.5116279069768,9_72359522_72356945_R_ENST00000376956_1,IR
20:10649636-10649695,MIR6870,20:10651695-10649521,IR,2,2,-,ENST00000615931,89.38,0.0011752,0.0011752,7.14285714285714|11.1111111111111,97.0149253731343|100,20_10651695_10649521_R_ENST00000615931_1,IR
14:22978612-22979036,AJUBA,14:22982339-22978343,IR,2,2,-,ENST00000553736,89.11,0.00374778,0.00374778,8.33333333333333|9.52380952380952,97.972972972973|98.1132075471698,14_22982339_22978343_R_ENST00000553736_1,IR
19:652358-652884,RNF126,19:661403-652825,IR,2,2,-,ENST00000592626,89.05,0.000133741,0.000133741,4.54545454545455|3.7037037037037,93.75|92.5925925925926,19_661403_652825_R_ENST00000592626_1,IR
1:228102242-228102688,C1orf35,1:228103050-228102642,IR,2,2,-,ENST00000491293,88.91,0.00203109,0.00203109,11.3636363636364|5.55555555555556,94.7368421052632|100,1_228103050_228102642_R_ENST00000491293_1,IR
21:43419294-43419478,SIK1,21:43419923-43419293,IR,2,2,-,ENST00000644871,88.88,0.000418919,0.000418919,0|1.75438596491228,90.3225806451613|89.1891891891892,21_43419923_43419293_R_ENST00000644871_1,IR
14:22978612-22979036,AJUBA,14:22982643-22978343,IR,2,2,-,ENST00000553736,88.68,0.00238776,0.00238776,8.33333333333333|9.52380952380952,97.7611940298508|97.4576271186441,14_22982643_22978343_R_ENST00000553736_1,IR
19:46722934-46722950,STRN4,19:46723285-46722809,IR,2,2,-,ENST00000594357,87.85,0.00230391,0.00230391,6.06060606060606|7.69230769230769,95|94.4444444444444,19_46723285_46722809_R_ENST00000594357_1,IR
1:228106679-228106918,MRPL55,1:228107870-228106679,IR,2,2,-,ENST00000295008,87.56,0.00652443,0.00652443,0|0,88.4615384615385|86.6666666666667,1_228107870_228106679_R_ENST00000295008_1,IR
1:228106679-228106918,MRPL55,1:228107870-228106678,IR,2,2,-,ENST00000295008,87.56,0.00652443,0.00652443,0|0,88.4615384615385|86.6666666666667,1_228107870_228106678_R_ENST00000295008_1,IR
19:49907543-49909884,NUP62,19:49927849-49908104,IR (overlapping region),2,2,-,ENST00000352066,87.02,0.00576239,0.00576239,4|13.6363636363636,91.6666666666667|100,19_49927849_49908104_R_ENST00000352066_1,IR
19:49907543-49909884,NUP62,19:49917662-49909405,IR (overlapping region),2,2,-,ENST00000352066,87.02,0.00576239,0.00576239,4|13.6363636363636,91.6666666666667|100,19_49917662_49909405_R_ENST00000352066_1,IR
19:46722338-46722340,STRN4,19:46722951-46721985,IR,2,2,-,ENST00000594287,86.85,0.00793357,0.00793357,0|4,88.2352941176471|89.4736842105263,19_46722951_46721985_R_ENST00000594287_1,IR
5:173609357-173609434,BOD1,5:173613256-173609237,IR,2,2,-,ENST00000462674,86.66,0.0031572,0.0031572,8.57142857142857|3.125,95.9183673469388|89.0909090909091,5_173613256_173609237_R_ENST00000462674_1,IR
12:6974552-6975148,EMG1,12:6974694-6975089,IR,2,2,-,ENST00000611981,85.57,0.00156617,0.00156617,6.25|4.54545454545455,89.4736842105263|92.4528301886792,12_6974694_6975089_R_ENST00000611981_1,IR
19:46722338-46722340,STRN4,19:46722341-46721985,IR,2,2,-,ENST00000594287,84.94,0.000365233,0.000365233,1.66666666666667|4,88.8888888888889|86.6666666666667,19_46722341_46721985_R_ENST00000594287_1,IR
14:22900777-22901733,RBM23,14:22902100-22901671,IR,2,2,-,ENST00000346528,84.63,0.0008919,0.0008919,10.5263157894737|8.69565217391304,93.75|94.7368421052632,14_22902100_22901671_R_ENST00000346528_1,IR
14:23063040-23063577,ACIN1,14:23064486-23063435,IR,2,2,-,ENST00000553790,84.54,0.00796473,0.00796473,5.12820512820513|10,93.0232558139535|91.1764705882353,14_23064486_23063435_R_ENST00000553790_1,IR
X:1387311-1387419,SLC25A6,X:1389728-1387278,IR,2,2,-,ENST00000475167,84.48,0.00171592,0.00171592,0|0,84.7107438016529|84.2553191489362,X_1389728_1387278_R_ENST00000475167_1,IR
6:158783534-158783666,EZR,6:158783667-158776407,IR,2,2,-,ENST00000476189,84.06,0.00987175,0.00987175,0|0,82.7586206896552|85.3658536585366,6_158783667_158776407_R_ENST00000476189_1,IR
5:138512699-138512954,ETF1,5:138512955-138511103,IR,2,2,-,ENST00000503183,84.0,0.000587147,0.000587147,6.25|9.09090909090909,92.8571428571429|90.4761904761905,5_138512955_138511103_R_ENST00000503183_1,IR
7:75425136-75425195,POM121C,7:75425709-75425135,IR,2,2,-,ENST00000439629,83.97,0.0048596,0.0048596,0|0,84.6153846153846|83.3333333333333,7_75425709_75425135_R_ENST00000439629_1,IR
20:10647981-10648110,JAG1,20:10649108-10647959,IR,2,2,-,ENST00000620743,83.46,0.00373234,0.00373234,12.5|11.1111111111111,96.875|93.6507936507936,20_10649108_10647959_R_ENST00000620743_1,IR
3:46921731-46922139,CCDC12,3:46922313-46921730,IR,2,2,-,ENST00000292314,83.18,0.00907937,0.00907937,7.69230769230769|11.1111111111111,92.1875|92.9824561403509,3_46922313_46921730_R_ENST00000292314_1,IR
14:23063040-23063577,ACIN1,14:23063578-23062928,IR,2,2,-,ENST00000553790,83.0,0.00262558,0.00262558,10.3448275862069|13.3333333333333,95.5555555555556|94.1176470588235,14_23063578_23062928_R_ENST00000553790_1,IR
19:652358-652884,RNF126,19:663172-652357,IR,2,2,-,ENST00000592626,82.66,0.00624515,0.00624515,16|10.3448275862069,100|91.6666666666667,19_663172_652357_R_ENST00000592626_1,IR
17:49705885-49705896,SLC35B1,17:49706335-49705865,IR,2,2,-,ENST00000505765,82.65,0.00185769,0.00185769,12.5|17.6470588235294,100|95.4545454545455,17_49706335_49705865_R_ENST00000505765_1,IR
19:46722338-46722340,STRN4,19:46722341-46720698,IR,2,2,-,ENST00000594287,82.6,0.000390718,0.000390718,6.34920634920635|4,88.8888888888889|86.6666666666667,19_46722341_46720698_R_ENST00000594287_1,IR
16:2263897-2264331,RNPS1,16:2264761-2264175,IR,2,2,-,ENST00000563857,81.92,0.000939721,0.000939721,3.57142857142857|7.14285714285714,89.041095890411|85.5072463768116,16_2264761_2264175_R_ENST00000563857_1,IR
17:80136803-80137501,EIF4A3,17:80138281-80137385,IR,2,2,-,ENST00000575668,80.9,0.00738487,0.00738487,0|6.25,79.4871794871795|88.5714285714286,17_80138281_80137385_R_ENST00000575668_1,IR
