Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
12:54282597-54283826	HNRNPA1	12:54282597-54282641	A5SS	2	2	-	Ex.ENST00000547276	87.01	4.03917e-02	4.03917e-02	0|0	92.5373134328358|81.4814814814815	12_54282597_54283826_S_Ex.ENST00000547276_1
8:85465470-85480669	CA2	8:85475798-85475860	MES	2	2	-	ENST00000285379	73.45	1.22892e-01	1.22892e-01	12.1951219512195|40.9090909090909	100|100	8_85465470_85480669_W_ENST00000285379_3
1:111449582-111456085	ATP5PB	1:111449837-111449873	MES	2	2	-	ENST00000369722	60.07	2.27309e-01	2.27309e-01	48.936170212766|0	77.7777777777778|91.304347826087	1_111449582_111456085_W_ENST00000369722_1
1:155709825-155725381	DAP3	1:155721517-155721618	MES	2	2	-	ENST00000343043	56.36	1.26001e-02	1.26001e-02	35.1351351351351|44.4444444444444	100|92.3076923076923	1_155709825_155725381_W_ENST00000343043_2
12:6868988-6869257	TPI1	12:6869099-6869183	SES	2	2	-	ENST00000229270	55.26	6.33989e-02	6.33989e-02	50.259067357513|39.2156862745098	100|100	12_6868988_6869257_W_ENST00000229270_1
3:129571540-129571599	PLXND1	3:129571724-129571508	IR	2	2	-	ENST00000515191	52.09	1.87368e-01	1.87368e-01	14.6341463414634|18.1818181818182	52.3809523809524|84.6153846153846	3_129571724_129571508_R_ENST00000515191_1
16:75242776-75243090	BCAR1	16:75243091-75237182	IR	2	2	-	ENST00000561970	50.50	3.15242e-02	3.15242e-02	24.3243243243243|30.2325581395349	83.3333333333333|72.2222222222222	16_75243091_75237182_R_ENST00000561970_1
3:129571540-129571599	PLXND1	3:129571859-129571508	IR	2	2	-	ENST00000515191	50.45	2.77166e-01	2.77166e-01	2.77777777777778|11.4754098360656	33.3333333333333|81.8181818181818	3_129571859_129571508_R_ENST00000515191_1
19:10350529-10350968	TYK2	19:10354235-10350747	IR	2	2	-	ENST00000264818	48.70	1.14613e-01	1.14613e-01	25.9259259259259|50	73.3333333333333|100	19_10354235_10350747_R_ENST00000264818_1
8:39054574-39055576	ADAM9	8:39054574-39054889	A5SS	2	2	-	Ex.ENST00000379917	48.38	1.15379e-02	1.15379e-02	0|0	49.2537313432836|47.5	8_39054574_39055576_S_Ex.ENST00000379917_1
16:75242615-75243090	BCAR1	16:75242703-75237182	IR	2	2	-	ENST00000564028	47.25	7.64952e-02	7.64952e-02	31.7073170731707|30.2325581395349	84.2105263157895|72.2222222222222	16_75242703_75237182_R_ENST00000564028_1
