Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
1:1386495-1387582	CCNL2	1:1387870-1387231	IR	2	2	-	ENST00000400809	74.77	1.27908e-02	1.27908e-02	19.047619047619|15.3846153846154	91.6666666666667|92.3076923076923	1_1387870_1387231_R_ENST00000400809_1
11:69641512-69651117	CCND1	11:69643832-69643991	MES	2	2	-	ENST00000227507	74.21	1.40307e-01	1.40307e-01	9.67741935483871|8.57142857142857	66.6666666666667|100	11_69641512_69651117_W_ENST00000227507_2
1:1386495-1387582	CCNL2	1:1387870-1387542	IR	2	2	-	ENST00000400809	73.95	5.77199e-03	5.77199e-03	10.5263157894737|15.3846153846154	90.4761904761905|83.3333333333333	1_1387870_1387542_R_ENST00000400809_1
17:4938154-4938429	SLC25A11	17:4938430-4938153	IR	2	2	-	ENST00000570543	70.95	5.91554e-02	5.91554e-02	16.6666666666667|4.76190476190476	70|93.3333333333333	17_4938430_4938153_R_ENST00000570543_1
16:2975749-2975812	PKMYT1	16:2976825-2975318	IR	2	2	-	ENST00000572059	70.13	5.37083e-02	5.37083e-02	5.26315789473684|15.3846153846154	90.9090909090909|70	16_2976825_2975318_R_ENST00000572059_1
12:6833615-6834049	P3H3	12:6833645-6833924	IR	2	2	-	ENST00000545596	69.21	3.08065e-02	3.08065e-02	6.66666666666667|25	92.3076923076923|77.7777777777778	12_6833645_6833924_R_ENST00000545596_1
12:6833615-6834049	P3H3	12:6833645-6833745	IR	2	2	-	ENST00000545596	68.83	3.13113e-02	3.13113e-02	6.66666666666667|25	92.8571428571429|76.4705882352941	12_6833645_6833745_R_ENST00000545596_1
12:6833615-6834049	P3H3	12:6833645-6833743	IR	2	2	-	ENST00000545596	68.83	3.13113e-02	3.13113e-02	6.66666666666667|25	92.8571428571429|76.4705882352941	12_6833645_6833743_R_ENST00000545596_1
12:6833615-6834049	P3H3	12:6833645-6833741	IR	2	2	-	ENST00000545596	68.83	3.13113e-02	3.13113e-02	6.66666666666667|25	92.8571428571429|76.4705882352941	12_6833645_6833741_R_ENST00000545596_1
12:6833615-6834049	P3H3	12:6833810-6833924	IR	2	2	-	ENST00000545596	68.57	1.30790e-01	1.30790e-01	0|35.7142857142857	92.8571428571429|80	12_6833810_6833924_R_ENST00000545596_1
