Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
20:10649636-10649695	MIR6870	20:10650258-10649521	IR	2	2	-	ENST00000615931	98.63	8.84137e-03	8.84137e-03	0|0	97.2602739726027|100	20_10650258_10649521_R_ENST00000615931_1
20:10649636-10649695	MIR6870	20:10650361-10649521	IR	2	2	-	ENST00000615931	98.51	9.64502e-03	9.64502e-03	0|0	97.0149253731343|100	20_10650361_10649521_R_ENST00000615931_1
16:69748748-69749118	NOB1	16:69749339-69748231	IR	2	2	-	ENST00000561677	96.15	2.54512e-02	2.54512e-02	0|7.69230769230769	100|100	16_69749339_69748231_R_ENST00000561677_1
16:69748748-69749118	NOB1	16:69749119-69748231	IR	2	2	-	ENST00000561677	96.15	2.54512e-02	2.54512e-02	0|7.69230769230769	100|100	16_69749119_69748231_R_ENST00000561677_1
19:651385-651855	RNF126	19:652297-651610	IR	2	2	-	ENST00000591394	95.79	1.44460e-02	1.44460e-02	4.34782608695652|0	97.9591836734694|97.9591836734694	19_652297_651610_R_ENST00000591394_1
17:4938154-4938429	SLC25A11	17:4938558-4938153	IR	2	2	-	ENST00000570543	95.45	3.02923e-02	3.02923e-02	9.09090909090909|0	100|100	17_4938558_4938153_R_ENST00000570543_1
19:652358-652884	RNF126	19:652885-652232	IR	2	2	-	ENST00000592626	95.39	1.68799e-02	1.68799e-02	0|0	97.9166666666667|92.8571428571429	19_652885_652232_R_ENST00000592626_1
17:4938154-4938429	SLC25A11	17:4938254-4938022	IR	2	2	-	ENST00000570543	95.35	7.22610e-04	7.22610e-04	4.76190476190476|4.54545454545455	100|100	17_4938254_4938022_R_ENST00000570543_1
21:43421112-43421133	SIK1	21:43421134-43420437	IR	2	2	-	ENST00000478426	95.07	1.84719e-02	1.84719e-02	0|0	92.3076923076923|97.8260869565217	21_43421134_43420437_R_ENST00000478426_1
17:4938154-4938429	SLC25A11	17:4938603-4938338	IR	2	2	-	ENST00000570543	94.44	3.74051e-02	3.74051e-02	0|0	100|88.8888888888889	17_4938603_4938338_R_ENST00000570543_1
11:103089271-103089309	DCUN1D5	11:103092216-103089226	IR	2	2	-	ENST00000529076	94.22	2.99195e-02	2.99195e-02	0|10	100|98.4375	11_103092216_103089226_R_ENST00000529076_1
11:103089271-103089309	DCUN1D5	11:103092149-103089226	IR	2	2	-	ENST00000529076	93.96	2.73773e-02	2.73773e-02	0|10	100|97.9166666666667	11_103092149_103089226_R_ENST00000529076_1
16:75229030-75230023	BCAR1	16:75233936-75228186	IR	2	2	-	ENST00000162330	93.75	4.23786e-02	4.23786e-02	12.5|0	100|100	16_75233936_75228186_R_ENST00000162330_1
6:110888286-110890356	AMD1	6:110888984-110890253	IR	2	2	-	ENST00000612642	93.72	4.18234e-03	4.18234e-03	3.44827586206897|0	98.4615384615385|92.4242424242424	6_110888984_110890253_R_ENST00000612642_1
20:10647981-10648110	JAG1	20:10648111-10646938	IR	2	2	-	ENST00000620743	93.28	9.90980e-03	9.90980e-03	4|5.08474576271187	100|95.6521739130435	20_10648111_10646938_R_ENST00000620743_1
22:45171600-45172206	NUP50	22:45171684-45171808	IR	2	2	-	ENST00000497960	92.87	2.59434e-02	2.59434e-02	9.09090909090909|0	98.2758620689655|96.551724137931	22_45171684_45171808_R_ENST00000497960_1
17:75517015-75517244	TSEN54	17:75517073-75517160	IR	2	2	NMD	ENST00000578415	92.86	4.88745e-02	4.88745e-02	14.2857142857143|0	100|100	17_75517073_75517160_R_ENST00000578415_1
19:651385-651855	RNF126	19:652297-651384	IR	2	2	-	ENST00000591394	92.73	3.46454e-03	3.46454e-03	8.33333333333333|4.16666666666667	100|97.9591836734694	19_652297_651384_R_ENST00000591394_1
1:156597764-156598319	GPATCH4	1:156598495-156598226	IR	2	2	-	ENST00000527691	92.71	1.78752e-02	1.78752e-02	0|5.26315789473684	95.4545454545455|95.2380952380952	1_156598495_156598226_R_ENST00000527691_1
20:10647981-10648110	JAG1	20:10648029-10646938	IR	2	2	-	ENST00000620743	92.17	3.75243e-03	3.75243e-03	4|6.66666666666667	100|95	20_10648029_10646938_R_ENST00000620743_1
19:651385-651855	RNF126	19:652297-651691	IR	2	2	-	ENST00000591394	91.89	9.47106e-03	9.47106e-03	8.33333333333333|0	94|98.1132075471698	19_652297_651691_R_ENST00000591394_1
17:8205265-8205390	AURKB	17:8206640-8205264	IR	2	2	-	ENST00000577833	91.74	4.97663e-02	4.97663e-02	15|0	100|98.4732824427481	17_8206640_8205264_R_ENST00000577833_1
16:89647044-89647331	CHMP1A	16:89649498-89647202	IR	2	2	-	ENST00000547614	91.67	5.77159e-02	5.77159e-02	16.6666666666667|0	100|100	16_89649498_89647202_R_ENST00000547614_1
16:89647044-89647331	CHMP1A	16:89649498-89647043	IR	2	2	-	ENST00000547614	91.67	5.77159e-02	5.77159e-02	16.6666666666667|0	100|100	16_89649498_89647043_R_ENST00000547614_1
16:89647044-89647331	CHMP1A	16:89649498-89647034	IR	2	2	-	ENST00000547614	91.67	5.77159e-02	5.77159e-02	16.6666666666667|0	100|100	16_89649498_89647034_R_ENST00000547614_1
16:69748748-69749118	NOB1	16:69749339-69748917	IR	2	2	-	ENST00000561677	91.32	1.69403e-02	1.69403e-02	6.25|11.1111111111111	100|100	16_69749339_69748917_R_ENST00000561677_1
21:43421112-43421133	SIK1	21:43421134-43420233	IR	2	2	-	ENST00000478426	91.26	3.35849e-02	3.35849e-02	0|0	86.4406779661017|96.078431372549	21_43421134_43420233_R_ENST00000478426_1
14:23063040-23063577	ACIN1	14:23064222-23063435	IR	2	2	-	ENST00000553790	90.92	1.84218e-02	1.84218e-02	0|5.26315789473684	93.5483870967742|93.5483870967742	14_23064222_23063435_R_ENST00000553790_1
9:72360438-72360787	ZFAND5	9:72360785-72360109	IR	2	2	-	ENST00000487330	90.59	2.54624e-02	2.54624e-02	0|8	95.1351351351351|94.0476190476191	9_72360785_72360109_R_ENST00000487330_1
9:72360438-72360787	ZFAND5	9:72360788-72360109	IR	2	2	-	ENST00000487330	90.45	2.46945e-02	2.46945e-02	0|8	95.0819672131148|93.8271604938272	9_72360788_72360109_R_ENST00000487330_1
17:8205265-8205390	AURKB	17:8206640-8205215	IR	2	2	-	ENST00000577833	90.21	5.27688e-02	5.27688e-02	15|0	97.6190476190476|97.8102189781022	17_8206640_8205215_R_ENST00000577833_1
11:103089271-103089309	DCUN1D5	11:103092178-103089226	IR	2	2	-	ENST00000529076	90.21	3.54935e-04	3.54935e-04	7.69230769230769|10	100|98.1132075471698	11_103092178_103089226_R_ENST00000529076_1
11:103089271-103089309	DCUN1D5	11:103092162-103089226	IR	2	2	-	ENST00000529076	90.13	3.22880e-04	3.22880e-04	7.69230769230769|10	100|97.9591836734694	11_103092162_103089226_R_ENST00000529076_1
1:228102242-228102688	C1orf35	1:228103050-228102241	IR	2	2	-	ENST00000491293	90.09	4.32480e-03	4.32480e-03	9.30232558139535|10.5263157894737	100|100	1_228103050_228102241_R_ENST00000491293_1
3:149369022-149369880	TM4SF1	3:149371868-149369021	IR	2	2	-	ENST00000305366	90.08	2.82598e-02	2.82598e-02	10|0	94|96.1538461538462	3_149371868_149369021_R_ENST00000305366_1
19:49907543-49909884	NUP62	19:49913091-49909509	IR (overlapping region)	2	2	-	ENST00000352066	90.02	3.53175e-02	3.53175e-02	4.95049504950495|5	90|100	19_49913091_49909509_R_ENST00000352066_1
12:46370799-46371379	SLC38A2	12:46371434-46370775	IR	2	2	-	ENST00000553252	89.97	3.82256e-03	3.82256e-03	2.7027027027027|3.7037037037037	94.5454545454545|91.7910447761194	12_46371434_46370775_R_ENST00000553252_1
17:7236617-7236767	PHF23	17:7237478-7236289	IR	2	2	-	ENST00000570753	89.91	8.36131e-05	8.36131e-05	10|9.09090909090909	98.9010989010989|100	17_7237478_7236289_R_ENST00000570753_1
19:49907543-49909884	NUP62	19:49918622-49909751	IR (overlapping region)	2	2	-	ENST00000352066	89.85	3.66030e-02	3.66030e-02	4.95049504950495|5	89.6551724137931|100	19_49918622_49909751_R_ENST00000352066_1
17:7236617-7236767	PHF23	17:7237478-7236636	IR	2	2	-	ENST00000570753	89.81	1.72521e-04	1.72521e-04	10|9.09090909090909	98.7179487179487|100	17_7237478_7236636_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236358	IR	2	2	-	ENST00000570753	89.81	1.84520e-04	1.84520e-04	10|9.09090909090909	98.7012987012987|100	17_7237478_7236358_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236616	IR	2	2	-	ENST00000570753	89.78	2.27616e-04	2.27616e-04	10|9.09090909090909	98.6486486486486|100	17_7237478_7236616_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236518	IR	2	2	-	ENST00000570753	89.76	2.63431e-04	2.63431e-04	10|9.09090909090909	98.6111111111111|100	17_7237478_7236518_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236480	IR	2	2	-	ENST00000570753	89.74	3.06205e-04	3.06205e-04	10|9.09090909090909	98.5714285714286|100	17_7237478_7236480_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236380	IR	2	2	-	ENST00000570753	89.74	3.06205e-04	3.06205e-04	10|9.09090909090909	98.5714285714286|100	17_7237478_7236380_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7236428	IR	2	2	-	ENST00000570753	89.73	3.30611e-04	3.30611e-04	10|9.09090909090909	98.5507246376812|100	17_7237478_7236428_R_ENST00000570753_1
21:43420438-43420457	SIK1	21:43420458-43419858	IR	2	2	-	ENST00000644689	89.65	1.52759e-02	1.52759e-02	0|0	87.5|91.8032786885246	21_43420458_43419858_R_ENST00000644689_1
17:7236617-7236767	PHF23	17:7237478-7235933	IR	2	2	-	ENST00000570753	89.65	5.77180e-04	5.77180e-04	10|9.09090909090909	98.3870967741936|100	17_7237478_7235933_R_ENST00000570753_1
17:7236617-7236767	PHF23	17:7237478-7235929	IR	2	2	-	ENST00000570753	89.65	5.77180e-04	5.77180e-04	10|9.09090909090909	98.3870967741936|100	17_7237478_7235929_R_ENST00000570753_1
9:72356946-72357056	ZFAND5	9:72359522-72356930	IR	2	2	-	ENST00000376956	89.60	2.85069e-04	2.85069e-04	5.88235294117647|3.77358490566038	93.5294117647059|95.3216374269006	9_72359522_72356930_R_ENST00000376956_1
1:156597468-156598121	GPATCH4	1:156598495-156597939	IR	2	2	-	ENST00000506832	89.41	2.22062e-02	2.22062e-02	0|14.2857142857143	100|93.1034482758621	1_156598495_156597939_R_ENST00000506832_1
9:72356946-72357056	ZFAND5	9:72359522-72356945	IR	2	2	-	ENST00000376956	89.40	5.61497e-03	5.61497e-03	9.09090909090909|6.06060606060606	97.4358974358974|96.5116279069768	9_72359522_72356945_R_ENST00000376956_1
20:10649636-10649695	MIR6870	20:10651695-10649521	IR	2	2	-	ENST00000615931	89.38	1.17520e-03	1.17520e-03	7.14285714285714|11.1111111111111	97.0149253731343|100	20_10651695_10649521_R_ENST00000615931_1
17:4938154-4938429	SLC25A11	17:4938430-4938153	IR	2	2	-	ENST00000570543	89.29	4.23786e-02	4.23786e-02	16.6666666666667|4.76190476190476	100|100	17_4938430_4938153_R_ENST00000570543_1
6:33287492-33287505	WDR46	6:33287506-33287090	IR	2	2	-	ENST00000477718	89.28	2.80660e-02	2.80660e-02	0|8.69565217391304	93.0232558139535|94.2307692307692	6_33287506_33287090_R_ENST00000477718_1
