Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
17:82249578-82250179,CSNK1D,17:82249836-82249430,IR (overlapping region),2,2,-,ENST00000578904,63.72,0.00998395,0.00998395,27.2727272727273|31.3432835820896,93.75|92.3076923076923,17_82249836_82249430_R_ENST00000578904_1,IR
11:62855012-62855083,SNORD27,11:62855489-62854887,IR,2,2,-,ENST00000363981,62.93,0.0050439,0.0050439,27.7777777777778|32.9268292682927,91.6666666666667|94.8979591836735,11_62855489_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855217-62854887,IR,2,2,-,ENST00000363981,62.01,0.00798326,0.00798326,26.4150943396226|33.7349397590361,89.5522388059701|94.6236559139785,11_62855217_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855237-62854887,IR,2,2,-,ENST00000363981,61.34,0.00444027,0.00444027,27.7777777777778|33.7349397590361,89.3939393939394|94.7916666666667,11_62855237_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855209-62854887,IR,2,2,-,ENST00000363981,61.01,0.00661827,0.00661827,27.7777777777778|34.5238095238095,89.7058823529412|94.6236559139785,11_62855209_62854887_R_ENST00000363981_1,IR
2:38070987-38071310,CYP1B1,2:38074409-38071175,IR (overlapping region),2,2,-,ENST00000492443,60.97,0.00904591,0.00904591,33.3333333333333|27.3809523809524,87.2964169381108|95.364238410596,2_38074409_38071175_R_ENST00000492443_1,IR
3:127574978-127575265,TPRA1,3:127575810-127575184,IR,2,2,-,ENST00000465915,57.54,0.00970382,0.00970382,10|10,66.6666666666667|68.4210526315789,3_127575810_127575184_R_ENST00000465915_1,IR
19:49487639-49489849,RPL13A,19:49487639-49487644,A5SS,2,2,-,Ex.TSS.ENST00000391857,56.27,0.00370695,0.00370695,44.0573770491803|43.4020618556701,100|100,19_49487639_49489849_S_Ex.TSS.ENST00000391857_1,A5SS
12:120198980-120199205,RPLP0,12:120199426-120199117,IR,2,2,-,ENST00000548551,52.41,0.00387722,0.00387722,10.4477611940298|5.80204778156997,62.8378378378378|58.2278481012658,12_120199426_120199117_R_ENST00000548551_1,IR
2:177230305-177232008,NFE2L2,2:177234272-177231789,IR,2,2,-,ENST00000397062,50.4,0.00059288,0.00059288,7.14285714285714|6.89655172413793,57.6923076923077|57.1428571428571,2_177234272_177231789_R_ENST00000397062_1,IR
12:120198980-120199205,RPLP0,12:120199486-120199117,IR,2,2,-,ENST00000548551,49.49,0.00620831,0.00620831,10.4477611940298|5.80204778156997,60.431654676259|54.7945205479452,12_120199486_120199117_R_ENST00000548551_1,IR
19:38836388-38836780,HNRNPL,19:38837480-38836394,IR (overlapping region),2,2,-,ENST00000221419,48.64,0.00252653,0.00252653,5.26315789473684|8.7719298245614,54.1666666666667|57.1428571428571,19_38837480_38836394_R_ENST00000221419_1,IR
10:73916389-73917497,PLAU,10:73916643-73913042,IR (overlapping region),2,2,-,ENST00000372764,48.64,0.00144161,0.00144161,32.7272727272727|30.3921568627451,79.3478260869565|81.0526315789474,10_73916643_73913042_R_ENST00000372764_1,IR
3:50288430-50288504,IFRD2,3:50288712-50288408,IR,2,2,NMD,ENST00000438296,48.56,0.00874882,0.00874882,40|33.3333333333333,82.3529411764706|88.0952380952381,3_50288712_50288408_R_ENST00000438296_1,IR
10:73916389-73917497,PLAU,10:73916642-73913042,IR (overlapping region),2,2,-,ENST00000372764,48.33,0.00277031,0.00277031,32.7272727272727|31.7307692307692,79.5698924731183|81.5384615384615,10_73916642_73913042_R_ENST00000372764_1,IR
12:120198556-120199000,RPLP0,12:120199001-120198744,IR,2,2,-,ENST00000546564,46.26,0.00619049,0.00619049,20.0934579439252|24.585635359116,71.25|65.9509202453988,12_120199001_120198744_R_ENST00000546564_1,IR
12:120198556-120199000,RPLP0,12:120199001-120198553,IR,2,2,-,ENST00000546564,44.62,0.00636367,0.00636367,21.5596330275229|18.018018018018,66.8269230769231|61.986301369863,12_120199001_120198553_R_ENST00000546564_1,IR
X:49077487-49077747,WDR45,X:49077619-49076644,IR,2,2,-,ENST00000376357,42.59,0.00159565,0.00159565,40|42.4242424242424,85|82.6086956521739,X_49077619_49076644_R_ENST00000376357_1,IR
7:44565417-44566079,DDX56,7:44566525-44565804,IR,2,2,-,ENST00000258772,42.26,0.00896588,0.00896588,0|0,41.6666666666667|42.8571428571429,7_44566525_44565804_R_ENST00000258772_1,IR
7:44565417-44566079,DDX56,7:44566525-44565803,IR,2,2,-,ENST00000258772,42.26,0.00896588,0.00896588,0|0,41.6666666666667|42.8571428571429,7_44566525_44565803_R_ENST00000258772_1,IR
7:44565417-44566079,DDX56,7:44566525-44565806,IR,2,2,-,ENST00000258772,41.57,0.00155652,0.00155652,0|0,41.6666666666667|41.4634146341463,7_44566525_44565806_R_ENST00000258772_1,IR
3:184325908-184326526,EIF4G1,3:184325908-184325951,A5SS,2,2,-,Ex.ENST00000342981,38.46,0.00160205,0.00160205,45.4545454545455|44.4444444444444,84.2105263157895|82.6086956521739,3_184325908_184326526_S_Ex.ENST00000342981_1,A5SS
12:120198556-120199000,RPLP0,12:120198740-120197321,IR,2,2,-,ENST00000546564,38.01,0.00862482,0.00862482,12.3076923076923|15.2173913043478,54|49.5454545454545,12_120198740_120197321_R_ENST00000546564_1,IR
12:120198556-120199000,RPLP0,12:120198632-120197321,IR,2,2,-,ENST00000546564,36.72,0.0017765,0.0017765,11.3989637305699|13.0573248407643,50|47.887323943662,12_120198632_120197321_R_ENST00000546564_1,IR
12:120198556-120199000,RPLP0,12:120198740-120197371,IR,2,2,-,ENST00000546564,36.08,0.000446867,0.000446867,15.7635467980296|16.7682926829268,52.7397260273973|51.9480519480519,12_120198740_120197371_R_ENST00000546564_1,IR
2:74527736-74528321,AUP1,2:74528490-74527735,IR,2,2,-,ENST00000464887,34.71,0.00213803,0.00213803,16.6666666666667|17.5,51.063829787234|52.5252525252525,2_74528490_74527735_R_ENST00000464887_1,IR
19:38838652-38839015,HNRNPL,19:38840179-38837593,IR,2,2,-,ENST00000601664,34.58,0.00579836,0.00579836,10|7.14285714285714,45|41.304347826087,19_38840179_38837593_R_ENST00000601664_1,IR
1:151761962-151762010,MRPL9,1:151762026-151761506,IR,2,2,-,ENST00000481777,34.16,0.00636384,0.00636384,41.1764705882353|44.4444444444444,78.9473684210526|75,1_151762026_151761506_R_ENST00000481777_1,IR
11:64874488-64874518,EHD1,11:64878488-64874420,IR,2,2,-,ENST00000411683,33.95,0.00515113,0.00515113,6.06060606060606|2.63157894736842,36.9565217391304|39.6396396396396,11_64878488_64874420_R_ENST00000411683_1,IR
19:3983254-3983291,EEF2,19:3983292-3982806,IR,2,2,-,ENST00000600720,33.61,0.00236709,0.00236709,8.06451612903226|7.14285714285714,42|40.4255319148936,19_3983292_3982806_R_ENST00000600720_1,IR
16:56608684-56608991,MT2A,16:56608684-56608825,A5SS,2,2,-,Ex.TSS.ENST00000245185,31.9,0.00111377,0.00111377,0|0,31.9587628865979|31.8471337579618,16_56608684_56608991_S_Ex.TSS.ENST00000245185_1,A5SS
X:49077487-49077747,WDR45,X:49077748-49076644,IR,2,2,-,ENST00000376357,31.84,0.00594735,0.00594735,45.4545454545455|48.6486486486487,80|77.7777777777778,X_49077748_49076644_R_ENST00000376357_1,IR
X:49077487-49077747,WDR45,X:49077747-49076644,IR,2,2,-,ENST00000376357,31.84,0.00594735,0.00594735,45.4545454545455|48.6486486486487,80|77.7777777777778,X_49077747_49076644_R_ENST00000376357_1,IR
8:101201220-101201743,ZNF706,8:101205462-101201606,IR,2,2,-,ENST00000519916,30.84,0.00286644,0.00286644,15.9090909090909|13.5135135135135,44.4444444444444|46.6666666666667,8_101205462_101201606_R_ENST00000519916_1,IR
17:64502585-64503098,DDX5,17:64502903-64501887,IR,2,2,-,ENST00000577787,30.73,0.00856845,0.00856845,57.1428571428571|61.2903225806452,88.2352941176471|91.6666666666667,17_64502903_64501887_R_ENST00000577787_1,IR
11:10804364-10804418,EIF4G2,11:10805016-10804371,IR,2,2,-,ENST00000525972,29.4,0.00549739,0.00549739,0|3.17460317460317,32.3529411764706|29.6296296296296,11_10805016_10804371_R_ENST00000525972_1,IR
14:34706769-34712977,CFL2,14:34713137-34712851,IR,2,2,-,ENST00000298159,28.13,0.00802522,0.00802522,3.2258064516129|4.61538461538462,30.7692307692308|33.3333333333333,14_34713137_34712851_R_ENST00000298159_1,IR
9:72360438-72360787,ZFAND5,9:72364593-72360627,IR,2,2,-,ENST00000487330,27.98,0.00980689,0.00980689,33.3333333333333|32.6086956521739,60|61.9047619047619,9_72364593_72360627_R_ENST00000487330_1,IR
2:200861090-200861466,CLK1,2:200861467-200859679,IR,2,2,-,ENST00000481641,27.64,0.00319907,0.00319907,72.2222222222222|72.5,100|100,2_200861467_200859679_R_ENST00000481641_1,IR
6:43055545-43055618,MRPL2,6:43056008-43055544,IR (overlapping region),2,2,-,ENST00000470667,26.96,0.00766556,0.00766556,9.61538461538462|6.15384615384615,33.3333333333333|36.3636363636364,6_43056008_43055544_R_ENST00000470667_1,IR
22:39314700-39314846,RPL3,22:39314847-39314106,IR,2,2,-,ENST00000453303,26.17,0.00518155,0.00518155,8.45070422535211|9.79020979020979,36.3636363636364|34.2105263157895,22_39314847_39314106_R_ENST00000453303_1,IR
3:186786164-186789894,EIF4A2,3:186787265-186787494,IR,2,2,-,ENST00000485101,25.8,0.00965117,0.00965117,52.5|50,75.3086419753086|78.7878787878788,3_186787265_186787494_R_ENST00000485101_1,IR
6:31538831-31538855,DDX39B,6:31538940-31536608,IR (overlapping region),2,2,-,ENST00000418897,25.77,0.000200359,0.000200359,8.33333333333333|8.82352941176471,34.6153846153846|34.0909090909091,6_31538940_31536608_R_ENST00000418897_1,IR
11:10804364-10804418,EIF4G2,11:10805016-10804296,IR,2,2,-,ENST00000525972,24.98,0.00786655,0.00786655,0|3.17460317460317,28.125|25,11_10805016_10804296_R_ENST00000525972_1,IR
11:90210571-90210591,CHORDC1,11:90210595-90206201,IR,2,2,NMD,ENST00000533772,24.82,0.00680861,0.00680861,4.16666666666667|4.76190476190476,30|28.5714285714286,11_90210595_90206201_R_ENST00000533772_1,IR
3:186786164-186789894,EIF4A2,3:186787265-186787478,IR,2,2,-,ENST00000485101,24.68,0.00549377,0.00549377,52.5|50,75|76.8595041322314,3_186787265_186787478_R_ENST00000485101_1,IR
15:73560014-73561048,NPTN,15:73561971-73560816,IR,2,2,-,ENST00000345330,24.65,0.00631673,0.00631673,7.69230769230769|5,32|30,15_73561971_73560816_R_ENST00000345330_1,IR
6:33416561-33417310,CUTA,6:33417311-33416919,IR,2,2,-,ENST00000487637,24.64,0.00104671,0.00104671,6.81818181818182|5.71428571428571,31.4814814814815|30.3370786516854,6_33417311_33416919_R_ENST00000487637_1,IR
7:101128665-101130420,SERPINE1,7:101128665-101130311,A5SS,2,2,-,Ex.ENST00000223095,23.24,0.000568918,0.000568918,0|0,23.2558139534884|23.2142857142857,7_101128665_101130420_S_Ex.ENST00000223095_2,A5SS
9:72360438-72360787,ZFAND5,9:72364347-72360627,IR,2,2,-,ENST00000487330,23.14,0.00373985,0.00373985,36|34.0425531914894,59.1836734693878|57.1428571428571,9_72364347_72360627_R_ENST00000487330_1,IR
8:100702916-100703359,PABPC1,8:100704391-100703284,IR,2,2,-,ENST00000318607,22.87,0.00585138,0.00585138,36.3636363636364|38.8888888888889,59.4594594594595|61.5384615384615,8_100704391_100703284_R_ENST00000318607_1,IR
22:39315213-39315307,SNORD83A,22:39315487-39314685,IR,2,2,-,ENST00000386747,22.55,0.00371417,0.00371417,3.44827586206897|5.4421768707483,27.9279279279279|26.063829787234,22_39315487_39314685_R_ENST00000386747_1,IR
17:58351999-58353719,TSPOAP1-AS1,17:58352424-58351401,IR (overlapping region),2,2,-,ENST00000578025,21.24,0.00563366,0.00563366,0|0,21.4285714285714|21.0526315789474,17_58352424_58351401_R_ENST00000578025_1,IR
17:58351999-58353719,TSPOAP1-AS1,17:58352203-58351401,IR (overlapping region),2,2,-,ENST00000578025,21.24,0.00563366,0.00563366,0|0,21.4285714285714|21.0526315789474,17_58352203_58351401_R_ENST00000578025_1,IR
17:58351999-58353719,TSPOAP1-AS1,17:58352179-58351401,IR (overlapping region),2,2,-,ENST00000578025,21.24,0.00563366,0.00563366,0|0,21.4285714285714|21.0526315789474,17_58352179_58351401_R_ENST00000578025_1,IR
17:58351999-58353719,TSPOAP1-AS1,17:58352168-58351401,IR (overlapping region),2,2,-,ENST00000578025,21.24,0.00563366,0.00563366,0|0,21.4285714285714|21.0526315789474,17_58352168_58351401_R_ENST00000578025_1,IR
3:37063742-37063791,LRRFIP2,3:37068764-37063741,IR,2,2,-,ENST00000487246,20.68,0.00403863,0.00403863,9.52380952380952|7.69230769230769,30|28.5714285714286,3_37068764_37063741_R_ENST00000487246_1,IR
12:56714381-56714439,NACA,12:56714676-56714361,IR (overlapping region),2,2,NMD,ENST00000548084,20.68,0.00238792,0.00238792,5.55555555555556|4.16666666666667,26.0869565217391|25,12_56714676_56714361_R_ENST00000548084_1,IR
22:39315213-39315307,SNORD83A,22:39315430-39314685,IR,2,2,-,ENST00000386747,20.46,0.00342221,0.00342221,4.54545454545455|5.4421768707483,25.2336448598131|25.668449197861,22_39315430_39314685_R_ENST00000386747_1,IR
8:100702916-100703359,PABPC1,8:100704391-100703098,IR,2,2,-,ENST00000318607,20.22,0.0095429,0.0095429,41.6666666666667|38.8888888888889,59.4594594594595|61.5384615384615,8_100704391_100703098_R_ENST00000318607_1,IR
5:179622952-179623164,HNRNPH1,5:179623165-179621842,IR,2,2,-,ENST00000513230,20.13,0.00330718,0.00330718,21.6931216931217|23.0555555555556,42.9530201342282|42.0560747663551,5_179623165_179621842_R_ENST00000513230_1,IR
19:34399628-34399718,GPI,19:34399628-34399631,A5SS,2,2,-,Ex.ENST00000356487,-20.19,0.00584038,0.00584038,100|100,80|79.6296296296296,19_34399628_34399718_S_Ex.ENST00000356487_1,A5SS
