Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
X:48476397-48481425	FTSJ1	X:48478449-48478518	MES	2	2	-	ENST00000019019	85.07	8.27209e-04	8.27209e-04	14.5833333333333|12	100|96.7213114754098	X_48476397_48481425_W_ENST00000019019_3
15:66548351-66550128	ZWILCH	15:66550105-66547467	IR (overlapping region)	2	2	-	ENST00000307897	73.79	2.60713e-02	2.60713e-02	9.09090909090909|26.6666666666667	100|83.3333333333333	15_66550105_66547467_R_ENST00000307897_1
16:634737-634797	METTL26	16:635064-634718	IR	2	2	-	ENST00000565163	60.60	6.10106e-02	6.10106e-02	25.7142857142857|23.3333333333333	91.6666666666667|78.5714285714286	16_635064_634718_R_ENST00000565163_1
17:7626959-7627226	SAT2	17:7627415-7626942	IR (overlapping region)	2	2	-	ENST00000573930	60.48	5.44303e-02	5.44303e-02	12.5|24.3243243243243	80|77.7777777777778	17_7627415_7626942_R_ENST00000573930_1
14:77717599-77718286	SNW1	14:77718531-77717627	IR (overlapping region)	2	2	-	ENST00000261531	60.37	1.38172e-01	1.38172e-01	52.9411764705882|26.3157894736842	100|100	14_77718531_77717627_R_ENST00000261531_1
14:77717599-77718286	SNW1	14:77718531-77717598	IR (overlapping region)	2	2	-	ENST00000261531	59.06	1.54474e-01	1.54474e-01	55.5555555555556|26.3157894736842	100|100	14_77718531_77717598_R_ENST00000261531_1
5:177483875-177483982	PDLIM7	5:177484191-177483866	IR	2	2	-	ENST00000505746	58.85	6.96460e-02	6.96460e-02	36.3636363636364|22.8571428571429	76.9230769230769|100	5_177484191_177483866_R_ENST00000505746_1
16:634737-634797	METTL26	16:635341-634663	IR	2	2	-	ENST00000565163	58.66	4.92714e-02	4.92714e-02	25.7142857142857|30.3030303030303	93.3333333333333|80	16_635341_634663_R_ENST00000565163_1
X:48476397-48481425	FTSJ1	X:48477961-48478168	MES	2	2	-	ENST00000019019	58.49	1.22432e-01	1.22432e-01	10.4166666666667|16	84.375|59.0163934426229	X_48476397_48481425_W_ENST00000019019_2
17:7626959-7627226	SAT2	17:7627847-7626945	IR (overlapping region)	2	2	-	ENST00000573930	58.34	2.16324e-02	2.16324e-02	27.7777777777778|15.1515151515152	84.6153846153846|75	17_7627847_7626945_R_ENST00000573930_1
16:634737-634797	METTL26	16:635341-634718	IR	2	2	-	ENST00000565163	58.32	5.37326e-02	5.37326e-02	29.7297297297297|30.3030303030303	93.3333333333333|83.3333333333333	16_635341_634718_R_ENST00000565163_1
19:4099195-4099414	MAP2K2	19:4100680-4097278	IR	2	2	-	ENST00000593364	58.06	1.05821e-01	1.05821e-01	20|17.5	86.9565217391304|66.6666666666667	19_4100680_4097278_R_ENST00000593364_1
9:97994781-98004963	ANP32B	9:97998556-97998678	SES	2	2	-	ENST00000339399	57.96	2.24319e-02	2.24319e-02	44.0860215053763|40	100|100	9_97994781_98004963_W_ENST00000339399_1
19:4941932-4947104	UHRF1	19:4944343-4944450	MES	2	2	-	ENST00000612630	56.41	1.29913e-01	1.29913e-01	31.9148936170213|55.2631578947368	100|100	19_4941932_4947104_W_ENST00000612630_2
7:75362089-75365254	STAG3L1	7:75364633-75364756	SES	2	2	-	ENST00000456374	56.13	1.79139e-02	1.79139e-02	42.2950819672131|45.4545454545455	100|100	7_75362089_75365254_W_ENST00000456374_1
13:110641417-110641608	CARS2	13:110644484-110641416	IR	2	2	-	ENST00000257347	53.99	9.76249e-02	9.76249e-02	11.1111111111111|21.0526315789474	81.8181818181818|58.3333333333333	13_110644484_110641416_R_ENST00000257347_1
X:48476397-48481425	FTSJ1	X:48478617-48478707	MES	2	2	-	ENST00000019019	53.71	2.74592e-01	2.74592e-01	14.5833333333333|16	93.75|44.2622950819672	X_48476397_48481425_W_ENST00000019019_4
13:110643956-110643980	CARS2	13:110644484-110643752	IR	2	2	-	ENST00000535398	53.54	7.73096e-02	7.73096e-02	11.1111111111111|31.8181818181818	80|70	13_110644484_110643752_R_ENST00000535398_1
X:154364632-154364957	FLNA	X:154365208-154364631	IR	2	2	-	ENST00000465144	52.61	2.07787e-02	2.07787e-02	33.3333333333333|44.1860465116279	87.5|95.2380952380952	X_154365208_154364631_R_ENST00000465144_1
20:37517417-37519350	BLCAP	20:37521694-37519153	IR (overlapping region)	2	2	-	ENST00000373537	52.31	1.05965e-01	1.05965e-01	20|40	84.6153846153846|80	20_37521694_37519153_R_ENST00000373537_1
5:177483875-177483982	PDLIM7	5:177484191-177483874	IR	2	2	-	ENST00000505746	51.79	9.05654e-02	9.05654e-02	50|25	78.5714285714286|100	5_177484191_177483874_R_ENST00000505746_1
16:634737-634797	METTL26	16:635775-634736	IR	2	2	-	ENST00000565163	51.59	1.29200e-01	1.29200e-01	13.3333333333333|43.9024390243902	93.75|66.6666666666667	16_635775_634736_R_ENST00000565163_1
6:158765741-158767078	EZR	6:158767513-158765741	IR	2	2	-	ENST00000337147	51.56	2.04427e-01	2.04427e-01	10|14.2857142857143	46.1538461538462|81.25	6_158767513_158765741_R_ENST00000337147_1
6:158765741-158767078	EZR	6:158767513-158765740	IR	2	2	-	ENST00000337147	51.56	2.04427e-01	2.04427e-01	10|14.2857142857143	46.1538461538462|81.25	6_158767513_158765740_R_ENST00000337147_1
16:634737-634797	METTL26	16:636311-634718	IR	2	2	-	ENST00000565163	51.45	4.98757e-02	4.98757e-02	27.7777777777778|43.9024390243902	96|78.5714285714286	16_636311_634718_R_ENST00000565163_1
3:48627529-48628038	SLC26A6	3:48628542-48627528	IR	2	2	-	ENST00000462009	51.43	1.05137e-01	1.05137e-01	40|57.1428571428571	100|100	3_48628542_48627528_R_ENST00000462009_1
5:96663167-96695835	CAST	5:96675539-96675601	SES	2	2	-	ENST00000506811	50.67	3.75513e-02	3.75513e-02	52.3255813953488|46.3414634146341	100|100	5_96663167_96695835_W_ENST00000506811_1
1:150268901-150269301	APH1A	1:150269000-150267956	IR (overlapping region)	2	2	-	ENST00000493092	50.38	2.22415e-01	2.22415e-01	33.3333333333333|10.3448275862069	50|94.4444444444444	1_150269000_150267956_R_ENST00000493092_1
13:110642387-110642497	CARS2	13:110644484-110642446	IR	2	2	-	ENST00000471986	50.26	2.94274e-02	2.94274e-02	27.2727272727273|31.8181818181818	84.6153846153846|75	13_110644484_110642446_R_ENST00000471986_1
19:4099195-4099414	MAP2K2	19:4101144-4099408	IR	2	2	-	ENST00000593364	50.21	3.39787e-02	3.39787e-02	33.3333333333333|22.2222222222222	85|70.9677419354839	19_4101144_4099408_R_ENST00000593364_1
