Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
12:75506520-75506916	KRR1	12:75508447-75506781	IR	2	2	-	ENST00000550898	98.98	6.56286e-03	6.56286e-03	2.04081632653061|0	100|100	12_75508447_75506781_R_ENST00000550898_1
5:132488671-132489483	IRF1	5:132490305-132489391	IR (overlapping region)	2	2	-	ENST00000493208	97.37	1.72018e-02	1.72018e-02	0|0	100|94.7368421052632	5_132490305_132489391_R_ENST00000493208_1
11:128489470-128489490	ETS1	11:128489491-128486068	IR	2	2	-	ENST00000608978	97.06	1.92856e-02	1.92856e-02	0|0	100|94.1176470588235	11_128489491_128486068_R_ENST00000608978_1
19:49907543-49909884	NUP62	19:49911367-49909580	IR (overlapping region)	2	2	-	ENST00000352066	96.51	1.16716e-02	1.16716e-02	5.26315789473684|1.72413793103448	100|100	19_49911367_49909580_R_ENST00000352066_1
1:33330071-33330212	PHC2	1:33330213-33328869	IR (overlapping region)	2	2	-	ENST00000486897	96.49	2.89027e-03	2.89027e-03	2.46913580246914|0	100|95.4545454545455	1_33330213_33328869_R_ENST00000486897_1
12:6330442-6330711	TNFRSF1A	12:6330927-6330441	IR	2	2	-	ENST00000539372	96.15	2.54512e-02	2.54512e-02	7.69230769230769|0	100|100	12_6330927_6330441_R_ENST00000539372_1
12:75506164-75506609	KRR1	12:75508447-75506519	IR	2	2	-	ENST00000550023	95.65	2.89174e-02	2.89174e-02	8.69565217391304|0	100|100	12_75508447_75506519_R_ENST00000550023_1
21:43421112-43421133	SIK1	21:43421134-43420437	IR	2	2	-	ENST00000478426	95.54	2.97270e-02	2.97270e-02	0|0	91.0714285714286|100	21_43421134_43420437_R_ENST00000478426_1
5:132488671-132489483	IRF1	5:132490656-132489391	IR (overlapping region)	2	2	-	ENST00000493208	95.30	1.24687e-03	1.24687e-03	4.54545454545455|0	100|95.1388888888889	5_132490656_132489391_R_ENST00000493208_1
5:132488671-132489483	IRF1	5:132490263-132489391	IR (overlapping region)	2	2	-	ENST00000493208	93.69	4.86530e-03	4.86530e-03	0|7.69230769230769	100|95.0704225352113	5_132490263_132489391_R_ENST00000493208_1
19:49907543-49909884	NUP62	19:49927849-49908104	IR (overlapping region)	2	2	-	ENST00000352066	93.34	9.55292e-03	9.55292e-03	5.26315789473684|8.06451612903226	100|100	19_49927849_49908104_R_ENST00000352066_1
5:132488671-132489483	IRF1	5:132490799-132489391	IR	2	2	-	ENST00000493208	93.20	7.73742e-03	7.73742e-03	8.69565217391304|0	100|95.1048951048951	5_132490799_132489391_R_ENST00000493208_1
