Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA Transport (GO:0051028)	5/59	2.6010560739694685E-8	4.7499293218702645E-6	0	0	73.05555555555556	1275.8979781563755	SMG1;TPR;CASC3;THOC2;SMG7
mRNA Export From Nucleus (GO:0006406)	5/61	3.084369689526146E-8	4.7499293218702645E-6	0	0	70.43956043956044	1218.2052443442824	SMG1;TPR;CASC3;THOC2;SMG7
RNA Export From Nucleus (GO:0006405)	5/67	4.9755569966980116E-8	5.108238516609959E-6	0	0	63.60421836228288	1069.577658127262	SMG1;TPR;CASC3;THOC2;SMG7
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	5/89	2.0894995558494915E-7	1.6089146580041085E-5	0	0	46.895604395604394	721.3093131997465	DDX5;SMG1;SMG9;SMG7;DCP1A
mRNA Splicing, via Spliceosome (GO:0000398)	6/210	6.220567584794077E-7	3.8318696322331516E-5	0	0	23.95764705882353	342.36039446205825	COIL;DDX5;CDC5L;CWC25;CASC3;SF3B1
mRNA Processing (GO:0006397)	6/225	9.309023825212794E-7	4.778632230275901E-5	0	0	22.30027397260274	309.6863892972663	DDX5;SON;CDC5L;CWC25;CASC3;SF3B1
Ribosome Biogenesis (GO:0042254)	5/157	3.4929353919479093E-6	1.53689157245708E-4	0	0	25.829959514170042	324.54745103726987	BMS1;NOP2;NGDN;NOLC1;SURF6
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	5/170	5.153956399763654E-6	1.9842732139090067E-4	0	0	23.77972027972028	289.5358318241444	DDX5;CDC5L;CWC25;CASC3;SF3B1
Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:0000184)	3/27	8.807932618905768E-6	3.0142702740255294E-4	0	0	91.71428571428571	1067.5412447280366	SMG1;SMG9;SMG7
Ribonucleoprotein Complex Biogenesis (GO:0022613)	4/116	2.6708825814203986E-5	8.226318350774827E-4	0	0	27.058201058201057	284.93683249644283	BMS1;NOP2;NGDN;SURF6
RNA Processing (GO:0006396)	5/290	6.724065939042846E-5	0.001882738462931997	0	0	13.686234817813766	131.48683916355407	SON;NOP2;NOLC1;SF3B1;CCAR2
Gene Expression (GO:0010467)	5/381	2.4107064960839122E-4	0.005956493878019976	0	0	10.327332242225859	86.03102038135549	SMG1;TPR;CASC3;THOC2;SMG7
Ribosomal Large Subunit Assembly (GO:0000027)	2/16	2.595804345979666E-4	0.005956493878019976	0	0	101.2512315270936	835.9751173108406	DHX30;NOP2
Ribosomal Small Subunit Biogenesis (GO:0042274)	3/84	2.707497217281807E-4	0.005956493878019976	0	0	27.099206349206348	222.6014361681703	BMS1;NGDN;SURF6
mRNA Metabolic Process (GO:0016071)	3/101	4.6541864516904703E-4	0.009556596180804433	0	0	22.379737609329446	171.7101760164599	DDX5;SON;DCP1A
Negative Regulation of Catalytic Activity (GO:0043086)	2/25	6.435016260389885E-4	0.01238740630125053	0	0	61.604197901049474	452.7037464872515	NOSIP;CCAR2
Maturation of SSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000462)	2/27	7.514876486389779E-4	0.013615187987106188	0	0	56.670344827586206	407.6556198105421	BMS1;NGDN
protein-RNA Complex Assembly (GO:0022618)	3/137	0.0011287303389821883	0.019313830244806332	0	0	16.338486140724946	110.88378093392487	COIL;NOP2;SF3B1
Protein Localization to Organelle (GO:0033365)	3/150	0.001464881179649045	0.023746494912205568	0	0	14.88411078717201	97.13342636973763	TRAM1;DDX3X;DCP1A
Ribosome Assembly (GO:0042255)	2/42	0.0018176851577589618	0.027992351429488013	0	0	35.39310344827586	223.33725978671094	DDX3X;NOP2
Ribosomal Large Subunit Biogenesis (GO:0042273)	2/45	0.0020841627527673186	0.030567720373920672	0	0	32.919005613472336	203.2217962606325	NOP2;SURF6
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	2/60	0.0036743330480713955	0.04971517589556591	0	0	24.387633769322235	136.72643113641473	DDX3X;CCAR2
Regulation of Apoptotic Process (GO:0042981)	5/703	0.0037124969012922596	0.04971517589556591	0	0	5.474432444346484	30.63520101697445	DDX3X;SON;SMG9;RRP1B;CCAR2
Cellular Response to Virus (GO:0098586)	2/65	0.004297736554629315	0.05515428578440954	0	0	22.446633825944172	122.32667462829114	DDX3X;RRP1B
Regulation of Translational Initiation (GO:0006446)	2/69	0.004829275842928632	0.05949667838488075	0	0	21.10241893978384	112.54044000586624	DDX3X;TPR
Positive Regulation of Programmed Cell Death (GO:0043068)	3/248	0.00604230090188219	0.07157802606845057	0	0	8.887609329446065	45.406532951406675	DDX3X;RRP1B;CCAR2
Cell Fate Commitment Involved in Formation of Primary Germ Layer (GO:0060795)	1/5	0.0075026627208145845	0.07276136135732467	0	0	171.36666666666667	838.410952606756	RTF1
Intracellular mRNA Localization (GO:0008298)	1/5	0.0075026627208145845	0.07276136135732467	0	0	171.36666666666667	838.410952606756	STAU2
Positive Regulation of Canonical Wnt Signaling Pathway (GO:0090263)	2/89	0.007912111421596328	0.07276136135732467	0	0	16.235434007134362	78.5691196929754	DDX3X;CCAR2
RNA Splicing (GO:0008380)	2/92	0.008434016558600857	0.07276136135732467	0	0	15.691954022988506	74.93664649772681	SF3B1;CCAR2
Mitochondrial Fragmentation Involved in Apoptotic Process (GO:0043653)	1/6	0.008996651703905085	0.07276136135732467	0	0	137.08666666666667	645.8019623590394	CCAR2
Mitochondrial Large Ribosomal Subunit Assembly (GO:1902775)	1/6	0.008996651703905085	0.07276136135732467	0	0	137.08666666666667	645.8019623590394	DHX30
Regulation of mRNA Splicing, via Spliceosome (GO:0048024)	2/96	0.009153374419854511	0.07276136135732467	0	0	15.02127659574468	70.50435470446021	DDX5;SON
rRNA Metabolic Process (GO:0016072)	2/98	0.009523026284138442	0.07276136135732467	0	0	14.706896551724139	68.44652297293578	NOP2;NOLC1
Negative Regulation of Translation (GO:0017148)	2/102	0.010282073287304284	0.07276136135732467	0	0	14.115862068965518	64.61328863744347	DDX3X;TPR
Regulation of Ribonucleoprotein Complex Localization (GO:2000197)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	TPR
Protein Localization to Cytoplasmic Stress Granule (GO:1903608)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	DDX3X
rRNA Base Methylation (GO:0070475)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	NOP2
Regulation of mRNA Export From Nucleus (GO:0010793)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	TPR
Positive Regulation of Protein K63-linked Ubiquitination (GO:1902523)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	DDX3X
Deadenylation-Dependent Decapping of Nuclear-Transcribed mRNA (GO:0000290)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	DCP1A
Anterograde Dendritic Transport (GO:0098937)	1/7	0.010488465067859875	0.07276136135732467	0	0	114.23333333333333	520.6160395451574	STAU2
Regulation of RNA Splicing (GO:0043484)	2/104	0.010671387903853314	0.07276136135732467	0	0	13.837728194726166	62.825903365923416	SON;RRP1B
Positive Regulation of Apoptotic Process (GO:0043065)	3/313	0.011403645047230793	0.07276136135732467	0	0	7.001612903225807	31.323971478231922	DDX3X;RRP1B;CCAR2
rRNA Processing (GO:0006364)	2/110	0.011878016599203085	0.07276136135732467	0	0	13.065134099616857	57.91860087291065	NOP2;NOLC1
Regulation of Skeletal Muscle Cell Differentiation (GO:2001014)	1/8	0.011978105723557545	0.07276136135732467	0	0	97.9095238095238	433.2178045109551	DDX5
Regulation of miRNA Metabolic Process (GO:2000628)	1/8	0.011978105723557545	0.07276136135732467	0	0	97.9095238095238	433.2178045109551	DDX5
Regulation of Chemokine (C-C Motif) Ligand 5 Production (GO:0071649)	1/8	0.011978105723557545	0.07276136135732467	0	0	97.9095238095238	433.2178045109551	DDX3X
Regulation of Primary Metabolic Process (GO:0080090)	2/113	0.012502845826711538	0.07276136135732467	0	0	12.710158434296366	55.69335944668679	SON;RRP1B
Positive Regulation of Wnt Signaling Pathway (GO:0030177)	2/114	0.012714276789300585	0.07276136135732467	0	0	12.596059113300493	54.98217289168535	DDX3X;CCAR2
Negative Regulation of Growth (GO:0045926)	2/115	0.012927276867832517	0.07276136135732467	0	0	12.483979249313396	54.28553154239933	DDX3X;CCAR2
Intrinsic Apoptotic Signaling Pathway (GO:0097193)	2/115	0.012927276867832517	0.07276136135732467	0	0	12.483979249313396	54.28553154239933	DDX5;DDX3X
Protein Localization to Microtubule (GO:0035372)	1/9	0.013465576614829564	0.07276136135732467	0	0	85.66666666666667	369.0193379044954	CRIPT
Protein Localization to Microtubule Cytoskeleton (GO:0072698)	1/9	0.013465576614829564	0.07276136135732467	0	0	85.66666666666667	369.0193379044954	CRIPT
Cellular Response to Interferon-Alpha (GO:0035457)	1/9	0.013465576614829564	0.07276136135732467	0	0	85.66666666666667	369.0193379044954	TPR
Regulation of Nitric Oxide Metabolic Process (GO:0080164)	1/9	0.013465576614829564	0.07276136135732467	0	0	85.66666666666667	369.0193379044954	NOSIP
Endodermal Cell Fate Commitment (GO:0001711)	1/9	0.013465576614829564	0.07276136135732467	0	0	85.66666666666667	369.0193379044954	RTF1
Negative Regulation of Cell Growth (GO:0030308)	2/121	0.014237956139784139	0.07427211710134066	0	0	11.851057664445088	50.38884739092159	DDX3X;CCAR2
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	5/983	0.014814037576150548	0.07427211710134066	0	0	3.85205285512034	16.2255402374385	DDX3X;CDC5L;RRP1B;PPRC1;SF3B1
Positive Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)	1/10	0.014950880715204938	0.07427211710134066	0	0	76.14444444444445	320.0339631759748	TPR
Regulation of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000622)	1/10	0.014950880715204938	0.07427211710134066	0	0	76.14444444444445	320.0339631759748	CASC3
Nuclear Pore Complex Assembly (GO:0051292)	1/10	0.014950880715204938	0.07427211710134066	0	0	76.14444444444445	320.0339631759748	TPR
Regulation of Transcription by RNA Polymerase II (GO:0006357)	8/2250	0.015826107177388922	0.07443644811571778	0	0	2.843113679556297	11.787817562031076	DDX5;DDX3X;TPR;CDC5L;RTF1;RRP1B;PPRC1;SF3B1
Regulation of Chromosome Separation (GO:1905818)	1/11	0.01643402101256107	0.07443644811571778	0	0	68.52666666666667	281.5350697767532	TPR
mRNA Methylguanosine-Cap Decapping (GO:0110156)	1/11	0.01643402101256107	0.07443644811571778	0	0	68.52666666666667	281.5350697767532	DCP1A
Regulation of Mitotic Sister Chromatid Separation (GO:0010965)	1/11	0.01643402101256107	0.07443644811571778	0	0	68.52666666666667	281.5350697767532	TPR
Positive Regulation of Spindle Checkpoint (GO:0090232)	1/11	0.01643402101256107	0.07443644811571778	0	0	68.52666666666667	281.5350697767532	TPR
Regulation of Chromatin Organization (GO:1902275)	1/11	0.01643402101256107	0.07443644811571778	0	0	68.52666666666667	281.5350697767532	SSRP1
Positive Regulation of Protein Export From Nucleus (GO:0046827)	1/12	0.017915000498972468	0.07882600219547886	0	0	62.2939393939394	250.55350642717525	TPR
Regulation of Protein K63-linked Ubiquitination (GO:1900044)	1/12	0.017915000498972468	0.07882600219547886	0	0	62.2939393939394	250.55350642717525	DDX3X
Negative Regulation of Programmed Cell Death (GO:0043069)	3/381	0.019237810859060855	0.08035138288814138	0	0	5.7227891156462585	22.610039446321096	DDX3X;SON;SMG9
Cellular Response to Arsenic-Containing Substance (GO:0071243)	1/13	0.01939382218094201	0.08035138288814138	0	0	57.1	225.1339204215663	DDX3X
Positive Regulation of Protein Polyubiquitination (GO:1902916)	1/13	0.01939382218094201	0.08035138288814138	0	0	57.1	225.1339204215663	DDX3X
Endonucleolytic Clvg of Tricistronic rRNA Trnscpt (GO:0000479)	1/13	0.01939382218094201	0.08035138288814138	0	0	57.1	225.1339204215663	BMS1
Regulation of Dephosphorylation (GO:0035303)	1/14	0.020870489061854902	0.08035138288814138	0	0	52.705128205128204	203.93823103308605	SMG7
