Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
15:28681844-28684391	HERC2P9	15:28684129-28684391	A3SS	2	2	-	Ex.TSS.ENST00000528584	81.63	3.28303e-03	3.28303e-03	10|3.40909090909091	91.6666666666667|85	15_28681844_28684391_S_Ex.TSS.ENST00000528584_1
15:22587392-22589942	HERC2P2	15:22589680-22589943	A3SS	2	2	-	Ex.TSS.ENST00000619021	79.41	2.31130e-02	2.31130e-02	15.625|2.22222222222222	91.6666666666667|85	15_22587392_22589942_S_Ex.TSS.ENST00000619021_1
11:62624826-62625924	GANAB	11:62626166-62624950	IR	2	2	-	ENST00000346178	70.24	1.34499e-02	1.34499e-02	30.7692307692308|18.75	100|90	11_62626166_62624950_R_ENST00000346178_1
20:34031605-34078504	RALY	20:34076702-34076815	MES	2	2	-	ENST00000246194	66.76	7.35399e-02	7.35399e-02	40.9836065573771|25.4901960784314	100|100	20_34031605_34078504_W_ENST00000246194_5
2:218266087-218266147	AAMP	2:218266588-218265370	IR	2	2	-	ENST00000447885	61.47	1.18071e-01	1.18071e-01	8.33333333333333|33.3333333333333	80|84.6153846153846	2_218266588_218265370_R_ENST00000447885_1
3:52691072-52692871	GNL3	3:52691542-52691629	SES	2	2	-	ENST00000394799	61.11	3.16780e-02	3.16780e-02	35.8490566037736|41.9354838709677	100|100	3_52691072_52692871_W_ENST00000394799_1
17:40167917-40168417	CASC3	17:40167949-40168202	IR	2	2	-	ENST00000583902	59.61	2.64411e-01	2.64411e-01	0|7.14285714285714	36.3636363636364|90	17_40167949_40168202_R_ENST00000583902_1
19:1271981-1274440	CIRBP	19:1272052-1274306	IR	2	2	NMD	ENST00000587169	57.27	1.70163e-03	1.70163e-03	22.3140495867769|20.1680672268908	77.027027027027|80	19_1272052_1274306_R_ENST00000587169_1
19:1271981-1274440	CIRBP	19:1273716-1274306	IR	2	2	NMD	ENST00000587169	55.87	3.76949e-02	3.76949e-02	17.8571428571429|27.4336283185841	77.027027027027|80	19_1273716_1274306_R_ENST00000587169_1
19:41956681-41956934	RABAC1	19:41957120-41956780	IR (overlapping region)	2	2	-	ENST00000222008	55.32	1.18280e-01	1.18280e-01	33.3333333333333|7.69230769230769	91.6666666666667|60	19_41957120_41956780_R_ENST00000222008_1
