Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
15:28681844-28684391,HERC2P9,15:28684129-28684391,A3SS,2,2,-,Ex.TSS.ENST00000528584,81.63,0.00328303,0.00328303,10|3.40909090909091,91.6666666666667|85,15_28681844_28684391_S_Ex.TSS.ENST00000528584_1,A3SS
19:1271981-1274440,CIRBP,19:1272052-1274306,IR,2,2,NMD,ENST00000587169,57.27,0.00170163,0.00170163,22.3140495867769|20.1680672268908,77.027027027027|80,19_1272052_1274306_R_ENST00000587169_1,IR
19:1271981-1274807,CIRBP,19:1273716-1274648,IR,2,2,-,ENST00000593093,53.43,0.00478312,0.00478312,19.2982456140351|24.0740740740741,73.4375|76.7857142857143,19_1273716_1274648_R_ENST00000593093_1,IR
19:1271468-1271980,CIRBP,19:1271468-1271632,A5SS,2,2,-,Ex.TSS.ENST00000593283,46.0,0.00476997,0.00476997,54.3478260869565|53.6585365853659,100|100,19_1271468_1271980_S_Ex.TSS.ENST00000593283_1,A5SS
11:65546196-65546564,LTBP3,11:65546921-65546195,IR,2,2,-,ENST00000527339,42.77,0.00610182,0.00610182,18.1818181818182|13.6363636363636,61.1111111111111|56.25,11_65546921_65546195_R_ENST00000527339_1,IR
11:502214-502249,RNH1,11:502216-500483,IR,2,2,-,ENST00000526295,35.43,0.00348546,0.00348546,17.2413793103448|14.2857142857143,50|52.3809523809524,11_502216_500483_R_ENST00000526295_1,IR
19:38648261-38700599,ACTN4,19:38648261-38692945,A5SS,2,2,-,Ex.TSS.ENST00000495553,34.73,0.00609369,0.00609369,0|0,35.0649350649351|34.4,19_38648261_38700599_S_Ex.TSS.ENST00000495553_3,A5SS
19:38647908-38700599,ACTN4,19:38647908-38692945,A5SS,2,2,-,Ex.TSS.ENST00000252699,34.73,0.00609369,0.00609369,0|0,35.0649350649351|34.4,19_38647908_38700599_S_Ex.TSS.ENST00000252699_3,A5SS
19:48327624-48329362,EMP3,19:48329352-48329362,A3SS,2,2,-,Ex.ENST00000270221,33.68,0.00508928,0.00508928,54.5454545454545|57.6923076923077,90.9090909090909|88.6792452830189,19_48327624_48329362_S_Ex.ENST00000270221_1,A3SS
6:43055545-43055618,MRPL2,6:43056008-43055544,IR (overlapping region),2,2,-,ENST00000470667,33.33,0.00772212,0.00772212,0|4.16666666666667,37.5|33.3333333333333,6_43056008_43055544_R_ENST00000470667_1,IR
17:81511519-81511578,ACTG1,17:81512143-81511518,IR,2,2,-,ENST00000570382,31.07,0.00716092,0.00716092,34.9137931034483|35,66.412213740458|65.6410256410256,17_81512143_81511518_R_ENST00000570382_1,IR
17:81511519-81511578,ACTG1,17:81512143-81511497,IR,2,2,-,ENST00000570382,31.07,0.00716092,0.00716092,34.9137931034483|35,66.412213740458|65.6410256410256,17_81512143_81511497_R_ENST00000570382_1,IR
17:81511519-81511578,ACTG1,17:81512143-81511347,IR,2,2,-,ENST00000570382,31.07,0.00716092,0.00716092,34.9137931034483|35,66.412213740458|65.6410256410256,17_81512143_81511347_R_ENST00000570382_1,IR
17:81511519-81511578,ACTG1,17:81512143-81511345,IR,2,2,-,ENST00000570382,31.07,0.00716092,0.00716092,34.9137931034483|35,66.412213740458|65.6410256410256,17_81512143_81511345_R_ENST00000570382_1,IR
17:82449901-82450254,CYBC1,17:82450830-82446622,IR,2,2,-,ENST00000582456,28.65,0.00134698,0.00134698,40.7407407407407|42.1052631578947,69.5652173913043|70.5882352941177,17_82450830_82446622_R_ENST00000582456_1,IR
10:131971202-131971533,AL162274.2,10:131973119-131970863,IR,2,2,-,ENST00000614406,26.49,0.00421596,0.00421596,0|0,26.6666666666667|26.3157894736842,10_131973119_131970863_R_ENST00000614406_1,IR
19:17861308-17862093,RPL18A,19:17861308-17861472,A5SS,2,2,-,Ex.ENST00000222247,26.13,0.00654185,0.00654185,63.8297872340426|64.3489254108723,90.8866995073892|89.5522388059701,19_17861308_17862093_S_Ex.ENST00000222247_1,A5SS
22:39529093-39529623,RPS19BP1,22:39532094-39529096,IR,2,2,-,ENST00000334678,26.12,0.00702197,0.00702197,12.5|15.3846153846154,41.6666666666667|38.4615384615385,22_39532094_39529096_R_ENST00000334678_1,IR
7:6588617-6588926,ZDHHC4,7:6588975-6578564,IR,2,2,-,ENST00000335965,25.92,0.00674837,0.00674837,7.14285714285714|7.69230769230769,33.3333333333333|33.3333333333333,7_6588975_6578564_R_ENST00000335965_1,IR
