Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
12:54282666-54284257,HNRNPA1,12:54283812-54283967,MES,2,2,-,ENST00000546500,65.43,0.00203059,0.00203059,34.3578130054998|34.7752332485157,100|100,12_54282666_54284257_W_ENST00000546500_2,Exon Skipping
8:143991692-143992373,GRINA,8:143992079-143992244,IR (overlapping region),2,2,-,ENST00000525513,48.41,0.00242588,0.00242588,25.3164556962025|22.2222222222222,73.9130434782609|70.4545454545455,8_143992079_143992244_R_ENST00000525513_1,IR
4:1718385-1718626,TMEM129,4:1718882-1718384,IR,2,2,NMD,ENST00000480360,42.07,0.00316062,0.00316062,47.0588235294118|50,92.3076923076923|88.8888888888889,4_1718882_1718384_R_ENST00000480360_1,IR
17:51168344-51171486,NME1-NME2,17:51168344-51170041,A5SS,2,2,-,Ex.TSS.ENST00000376392,36.8,0.0027456,0.0027456,0|0,36.6391184573003|36.9565217391304,17_51168344_51171486_S_Ex.TSS.ENST00000376392_1,A5SS
16:2265503-2267328,RNPS1,16:2267238-2264572,IR,2,2,-,ENST00000566783,30.21,0.00713453,0.00713453,31.5789473684211|35.2941176470588,65.3846153846154|61.9047619047619,16_2267238_2264572_R_ENST00000566783_1,IR
1:112698287-112699810,MOV10,1:112698368-112698656,IR,2,2,-,ENST00000468624,29.71,0.00630296,0.00630296,70|70.5882352941177,100|100,1_112698368_112698656_R_ENST00000468624_1,IR
19:48325611-48329351,EMP3,19:48326830-48326922,MES,2,2,-,ENST00000270221,28.1,0.00143679,0.00143679,26.241134751773|27.2727272727273,55.1724137931034|54.5454545454545,19_48325611_48329351_W_ENST00000270221_1,Exon Skipping
2:73234385-73247761,CCT7,2:73234385-73240543,A5SS,2,2,-,Ex.TSS.ENST00000398422,26.68,0.0036509,0.0036509,0|0,26.8292682926829|26.5232974910394,2_73234385_73247761_S_Ex.TSS.ENST00000398422_2,A5SS
12:95504162-95512800,METAP2,12:95511895-95511998,SES,2,2,-,ENST00000261220,25.59,0.00162369,0.00162369,41.6666666666667|42.8571428571429,68.5714285714286|67.1232876712329,12_95504162_95512800_W_ENST00000261220_1,Exon Skipping
19:47131113-47143493,SAE1,19:47131113-47131320,A5SS,2,2,-,Ex.TSS.ENST00000596995,25.31,0.00215802,0.00215802,0|0,25.2252252252252|25.3968253968254,19_47131113_47143493_S_Ex.TSS.ENST00000596995_1,A5SS
19:47131029-47143493,SAE1,19:47131029-47131320,A5SS,2,2,-,Ex.TSS.ENST00000270225,25.31,0.00215802,0.00215802,0|0,25.2252252252252|25.3968253968254,19_47131029_47143493_S_Ex.TSS.ENST00000270225_1,A5SS
19:47130859-47143493,SAE1,19:47130859-47131320,A5SS,2,2,-,Ex.TSS.ENST00000597808,25.31,0.00215802,0.00215802,0|0,25.2252252252252|25.3968253968254,19_47130859_47143493_S_Ex.TSS.ENST00000597808_1,A5SS
19:47125331-47143493,SAE1,19:47125331-47131320,A5SS,2,2,-,Ex.ENST00000594526,25.31,0.00215802,0.00215802,0|0,25.2252252252252|25.3968253968254,19_47125331_47143493_S_Ex.ENST00000594526_1,A5SS
2:38294880-38296113,ATL2,2:38298576-38295907,IR,2,2,-,ENST00000378954,22.97,0.00532518,0.00532518,60.6060606060606|62.5,85.7142857142857|83.3333333333333,2_38298576_38295907_R_ENST00000378954_1,IR
19:12675721-12675933,DHPS,19:12676143-12675720,IR (overlapping region),2,2,-,ENST00000210060,-22.23,0.0043504,0.0043504,56.3380281690141|58.3333333333333,36.1702127659575|34.0425531914894,19_12676143_12675720_R_ENST00000210060_1,IR
16:84182267-84182440,TAF1C,16:84183334-84182201,IR,2,2,-,ENST00000561955,-23.88,0.000302791,0.000302791,53.3333333333333|53.8461538461538,29.4117647058824|30,16_84183334_84182201_R_ENST00000561955_1,IR
2:181915216-181918675,ITPRID2,2:181918471-181918597,IR,2,2,-,ENST00000491720,-26.2,0.005438,0.005438,50|52.6315789473684,24.1379310344828|26.0869565217391,2_181918471_181918597_R_ENST00000491720_1,IR
2:73244695-73247761,CCT7,2:73244695-73244715,A5SS,2,2,-,Ex.ENST00000258091,-27.64,0.00726125,0.00726125,58.974358974359|60.8695652173913,33.739837398374|30.8243727598566,2_73244695_73247761_S_Ex.ENST00000258091_1,A5SS
5:172959008-172959864,RPL26L1,5:172959008-172959039,A5SS,2,2,-,Ex.TSS.ENST00000521476,-31.24,0.00682415,0.00682415,31.5789473684211|30.9090909090909,0|0,5_172959008_172959864_S_Ex.TSS.ENST00000521476_1,A5SS
5:172958802-172959864,RPL26L1,5:172958802-172959039,A5SS,2,2,-,Ex.TSS.ENST00000519974,-31.24,0.00682415,0.00682415,31.5789473684211|30.9090909090909,0|0,5_172958802_172959864_S_Ex.TSS.ENST00000519974_1,A5SS
19:16185766-16190886,FAM32A,19:16190520-16190573,MES,2,2,NMD,ENST00000585831,-33.27,0.0083901,0.0083901,42|43.4782608695652,9.25925925925926|9.67741935483871,19_16185766_16190886_W_ENST00000585831_2,Exon Skipping
22:37751829-37754915,TRIOBP,22:37754877-37754915,A3SS,2,2,-,Ex.ENST00000344404,-33.3,0.000660278,0.000660278,61.4583333333333|60.7142857142857,27.2727272727273|28.3018867924528,22_37751829_37754915_S_Ex.ENST00000344404_1,A3SS
1:228102242-228102688,C1orf35,1:228103050-228102642,IR,2,2,-,ENST00000491293,-33.78,0.00302844,0.00302844,48.1481481481481|45.4545454545455,11.7647058823529|14.2857142857143,1_228103050_228102642_R_ENST00000491293_1,IR
