Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
3:64019424-64019441,PSMD6,3:64023438-64019295,IR,2,2,-,ENST00000478185,94.72,0.00294227,0.00294227,0|0,94.2857142857143|95.1612903225807,3_64023438_64019295_R_ENST00000478185_1,IR
14:103339172-103339803,EIF5,14:103339334-103339638,IR,2,2,-,ENST00000561380,94.5,0.00336833,0.00336833,0|0,94|95,14_103339334_103339638_R_ENST00000561380_1,IR
5:61157709-61160199,SMIM15,5:61161228-61159921,IR,2,2,-,ENST00000339020,94.04,0.00314871,0.00314871,4|0,92.9824561403509|99.1071428571429,5_61161228_61159921_R_ENST00000339020_1,IR
1:1338334-1338436,DVL1,1:1338654-1338268,IR,2,2,-,ENST00000634054,92.67,0.00457992,0.00457992,8|6.66666666666667,100|100,1_1338654_1338268_R_ENST00000634054_1,IR
1:1339492-1339812,DVL1,1:1339650-1338521,IR (overlapping region),2,2,-,ENST00000633096,90.5,0.00728819,0.00728819,7.89473684210526|5.55555555555556,94.4444444444444|100,1_1339650_1338521_R_ENST00000633096_1,IR
19:50799442-50799532,SNORD88A,19:50801350-50799293,IR,2,2,-,ENST00000408314,90.44,0.0081382,0.0081382,8|0,88.8888888888889|100,19_50801350_50799293_R_ENST00000408314_1,IR
10:97400481-97400534,RRP12,10:97401284-97400304,IR (overlapping region),2,2,-,ENST00000439965,90.13,0.00395207,0.00395207,6.25|0,97.2222222222222|89.2857142857143,10_97401284_97400304_R_ENST00000439965_1,IR
11:103089271-103089309,DCUN1D5,11:103092216-103089226,IR,2,2,-,ENST00000529076,89.7,0.00515357,0.00515357,0|6.25,94.5454545454545|91.1111111111111,11_103092216_103089226_R_ENST00000529076_1,IR
12:12912084-12912509,GPRC5A,12:12912143-12912446,IR,2,2,-,ENST00000540125,88.65,0.00171844,0.00171844,3.03030303030303|0,92.3566878980892|87.9699248120301,12_12912143_12912446_R_ENST00000540125_1,IR
1:154551751-154551819,UBE2Q1,1:154551858-154551396,IR,2,2,-,ENST00000474181,88.52,0.00273287,0.00273287,7.14285714285714|2.85714285714286,90.5405405405405|96.4912280701754,1_154551858_154551396_R_ENST00000474181_1,IR
12:46370799-46371379,SLC38A2,12:46371434-46370775,IR,2,2,-,ENST00000553252,88.39,0.00128248,0.00128248,0|4.54545454545455,92.6470588235294|88.6792452830189,12_46371434_46370775_R_ENST00000553252_1,IR
12:46370799-46371379,SLC38A2,12:46371380-46370775,IR,2,2,-,ENST00000553252,88.16,0.00148296,0.00148296,0|4.54545454545455,92.1875|88.6792452830189,12_46371380_46370775_R_ENST00000553252_1,IR
11:103089271-103089309,DCUN1D5,11:103092178-103089226,IR,2,2,-,ENST00000529076,87.26,0.000960971,0.000960971,4.34782608695652|6.25,94|91.1111111111111,11_103092178_103089226_R_ENST00000529076_1,IR
1:154551751-154551819,UBE2Q1,1:154551820-154551396,IR,2,2,-,ENST00000474181,87.03,0.000942793,0.000942793,9.30232558139535|5.55555555555556,92.5531914893617|96.3636363636364,1_154551820_154551396_R_ENST00000474181_1,IR
11:103089271-103089309,DCUN1D5,11:103092162-103089226,IR,2,2,-,ENST00000529076,86.87,0.00511418,0.00511418,4.34782608695652|6.25,94.3396226415094|90,11_103092162_103089226_R_ENST00000529076_1,IR
11:103089271-103089309,DCUN1D5,11:103092149-103089226,IR,2,2,-,ENST00000529076,86.74,0.0061706,0.0061706,4.34782608695652|6.25,94.3396226415094|89.7435897435898,11_103092149_103089226_R_ENST00000529076_1,IR
7:2366317-2366743,EIF3B,7:2366449-2366524,IR,2,2,-,ENST00000463026,85.81,0.00933611,0.00933611,11.1111111111111|0,87.5|95.2380952380952,7_2366449_2366524_R_ENST00000463026_1,IR
1:156597468-156598121,GPATCH4,1:156599105-156597763,IR,2,2,-,ENST00000506832,85.6,0.00124366,0.00124366,2.08333333333333|0,86.1111111111111|87.1794871794872,1_156599105_156597763_R_ENST00000506832_1,IR
1:156597468-156598121,GPATCH4,1:156598495-156597939,IR,2,2,-,ENST00000506832,85.05,0.000911662,0.000911662,3.44827586206897|5,89.6551724137931|88.8888888888889,1_156598495_156597939_R_ENST00000506832_1,IR
1:154548577-154550469,UBE2Q1,1:154551005-154550408,IR,2,2,-,ENST00000292211,85.02,0.00376576,0.00376576,13.0434782608696|5.55555555555556,97.4358974358974|91.2087912087912,1_154551005_154550408_R_ENST00000292211_1,IR
1:153954266-153954316,CRTC2,1:153955167-153954254,IR,2,2,-,ENST00000492073,84.92,0.00282712,0.00282712,14.2857142857143|10,94.1176470588235|100,1_153955167_153954254_R_ENST00000492073_1,IR
1:156598967-156599408,GPATCH4,1:156599105-156598226,IR,2,2,-,ENST00000525375,84.73,0.00312762,0.00312762,2.08333333333333|0,83.7837837837838|87.7551020408163,1_156599105_156598226_R_ENST00000525375_1,IR
2:96184859-96186914,STARD7,2:96187302-96186749,IR,2,2,-,ENST00000337288,84.56,0.00235099,0.00235099,0|5.88235294117647,85|90,2_96187302_96186749_R_ENST00000337288_1,IR
4:1822774-1823131,LETM1,4:1823776-1822773,IR,2,2,-,ENST00000511977,84.41,0.00152666,0.00152666,0|0,84.2105263157895|84.6153846153846,4_1823776_1822773_R_ENST00000511977_1,IR
1:156597764-156598319,GPATCH4,1:156598495-156598226,IR,2,2,-,ENST00000527691,84.14,0.00732871,0.00732871,3.44827586206897|7.31707317073171,90.1639344262295|88.8888888888889,1_156598495_156598226_R_ENST00000527691_1,IR
20:38421647-38421774,RF00056,20:38426053-38421005,IR,2,2,-,ENST00000362582,84.0,0.00794234,0.00794234,13.3333333333333|6.25,98.8095238095238|88.7755102040816,20_38426053_38421005_R_ENST00000362582_1,IR
1:156598967-156599408,GPATCH4,1:156599031-156598420,IR,2,2,-,ENST00000525375,83.69,0.00125886,0.00125886,3.44827586206897|0,83.3333333333333|87.5,1_156599031_156598420_R_ENST00000525375_1,IR
1:154551223-154551492,UBE2Q1,1:154551493-154550937,IR,2,2,-,ENST00000476612,83.64,0.00371071,0.00371071,9.52380952380952|6.66666666666667,89.2307692307692|94.2307692307692,1_154551493_154550937_R_ENST00000476612_1,IR
1:156598967-156599408,GPATCH4,1:156599047-156598420,IR,2,2,-,ENST00000525375,83.58,0.00222957,0.00222957,3.44827586206897|0,82.8571428571429|87.7551020408163,1_156599047_156598420_R_ENST00000525375_1,IR
1:228107767-228107869,MRPL55,1:228108085-228107667,IR,2,2,-,ENST00000411464,83.53,0.00423607,0.00423607,12.5|5,88.3495145631068|96.2025316455696,1_228108085_228107667_R_ENST00000411464_1,IR
1:156598967-156599408,GPATCH4,1:156599105-156598420,IR,2,2,-,ENST00000525375,83.35,0.000867076,0.000867076,2.08333333333333|0,83.7837837837838|85,1_156599105_156598420_R_ENST00000525375_1,IR
17:42823818-42823879,BECN1,17:42824252-42823747,IR,2,2,-,ENST00000612631,83.32,0.00865406,0.00865406,13.3333333333333|9.09090909090909,93.854748603352|95.2054794520548,17_42824252_42823747_R_ENST00000612631_1,IR
11:123058909-123058995,SNORD14D,11:123059104-123058790,IR,2,2,-,ENST00000384390,83.28,0.0031395,0.0031395,4.14201183431953|4.08163265306122,87.817703768624|86.9565217391304,11_123059104_123058790_R_ENST00000384390_1,IR
17:42823818-42823879,BECN1,17:42824254-42823747,IR,2,2,-,ENST00000612631,83.23,0.00890343,0.00890343,13.3333333333333|9.09090909090909,93.7853107344633|95.1048951048951,17_42824254_42823747_R_ENST00000612631_1,IR
12:6556871-6557642,NOP2,12:6560327-6557220,IR (overlapping region),2,2,-,ENST00000322166,83.12,0.00304163,0.00304163,9.09090909090909|5.26315789473684,87.5|93.1034482758621,12_6560327_6557220_R_ENST00000322166_1,IR
17:42823818-42823879,BECN1,17:42824261-42823747,IR,2,2,-,ENST00000612631,83.05,0.008338,0.008338,13.3333333333333|9.09090909090909,93.5672514619883|94.9640287769784,17_42824261_42823747_R_ENST00000612631_1,IR
17:42823818-42823879,BECN1,17:42824264-42823747,IR,2,2,-,ENST00000612631,82.98,0.00776695,0.00776695,13.3333333333333|9.09090909090909,93.4523809523809|94.9275362318841,17_42824264_42823747_R_ENST00000612631_1,IR
3:50290009-50290679,IFRD2,3:50290295-50289446,IR,2,2,-,ENST00000462001,82.73,0.00990854,0.00990854,9.375|9.09090909090909,93.3510638297872|90.5723905723906,3_50290295_50289446_R_ENST00000462001_1,IR
11:123058909-123058995,SNORD14D,11:123059098-123058251,IR,2,2,-,ENST00000384390,82.32,0.000584685,0.000584685,5.93824228028503|8.45070422535211,90.9356725146199|88.088376560999,11_123059098_123058251_R_ENST00000384390_1,IR
16:2265503-2267328,RNPS1,16:2268413-2264572,IR,2,2,-,ENST00000566783,82.24,0.00514226,0.00514226,12.5|11.7647058823529,93.125|95.6204379562044,16_2268413_2264572_R_ENST00000566783_1,IR
1:161041326-161041846,USF1,1:161041722-161041323,IR,2,2,-,ENST00000491629,82.06,0.00776989,0.00776989,7.69230769230769|18.1818181818182,100|90,1_161041722_161041323_R_ENST00000491629_1,IR
