14	70734499	70735960	0	2	0	2
20	29801124	29827251	0	1	0	1
1	84814172	84865384	0	77	0	77
8	22585400	22589595	0	30	0	32
6	44229792	44229906	0	281	0	288
12	53552638	53600952	0	77	0	77
17	60211119	60211375	0	130	0	132
22	40409019	40409339	0	3	0	3
9	97431075	97432024	0	22	0	22
14	35266876	35273434	0	4	0	4
3	9917735	9917863	0	3	0	3
19	18856301	18856876	0	255	0	256
17	60208211	60208653	0	99	0	99
17	74250029	74250264	0	2	0	2
16	69762392	69782998	0	1	0	1
7	51388233	51388775	0	1	0	1
5	95528153	95529000	0	114	0	116
11	126235088	126240791	0	88	0	88
20	35057572	35069295	0	154	0	161
1	27334282	27335684	0	2	0	2
1	35178037	35187000	0	49	0	49
4	20704815	20709682	0	2	0	2
17	28620631	28620987	0	236	0	236
1	93212262	93214742	0	6	0	6
17	47944716	47945558	0	144	0	144
20	49012085	49013563	0	80	0	80
21	46003150	46003390	0	295	0	297
X	153772288	153772885	0	23	0	23
9	128608050	128608129	0	103	0	103
13	23806070	23809849	0	60	0	60
20	32430054	32431320	0	58	0	58
7	74220255	74220583	0	6	0	6
6	41591323	41594869	0	182	0	186
17	76398585	76398836	0	83	0	87
9	5466830	5467839	0	8	0	8
2	101859865	101860824	0	52	0	54
11	64307505	64313950	0	230	0	232
10	102033340	102040012	0	54	0	54
20	58891680	58891709	0	30	0	35
15	67208659	67209461	0	341	0	349
16	579181	580857	0	13	0	15
7	156643893	156644498	0	8	0	8
15	50578665	50580873	0	159	0	183
19	10320952	10321530	0	17	0	17
9	29188798	29188927	0	1	0	1
18	3247588	3253232	0	3	0	3
10	102862181	102862872	0	102	0	103
12	57158639	57159824	0	5	0	5
16	18151748	18153204	0	1	0	1
11	94456339	94459407	0	81	0	81
1	222823946	222827427	0	23	0	23
1	155868792	155880499	0	61	0	62
4	184475055	184475152	0	2	0	2
2	85555591	85556181	0	34	0	34
3	197066755	197069218	0	130	0	132
8	25403725	25411193	0	3	0	3
1	169368343	169369472	0	111	0	111
12	52073903	52076785	0	468	0	468
13	37024443	37025319	0	122	0	125
17	75933089	75935631	0	13	0	13
11	26671252	26673401	0	2	0	2
4	143439888	143440078	0	16	0	16
17	27131125	27134090	0	1	0	1
20	36497603	36499587	0	5	0	5
16	30193456	30193532	0	1679	0	1706
17	81688828	81690673	0	9	0	9
9	41011731	41013780	0	67	0	67
17	64537113	64537602	0	71	0	71
16	30193456	30193535	0	6	0	6
18	62107587	62113133	0	2	0	2
5	70481539	70495023	0	2	0	2
10	60068010	60080572	0	3	0	3
1	1319525	1324580	0	3	0	3
12	57296552	57297327	0	49	0	52
5	134380809	134388324	0	335	0	339
X	345673	346173	0	84	0	84
17	560574	562502	0	65	0	67
