Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
17:28633686-28634086	KIAA0100	17:28634087-28633548	IR (overlapping region)	2	2	-	ENST00000581064	82.00	5.85573e-03	5.85573e-03	18.75|17.2413793103448	100|100	17_28634087_28633548_R_ENST00000581064_1
17:28633247-28633435	AC005726.2	17:28633752-28633282	IR (overlapping region)	2	2	-	ENST00000577814	80.80	1.99770e-02	1.99770e-02	16.6666666666667|21.7391304347826	100|100	17_28633752_28633282_R_ENST00000577814_1
20:49113523-49114893	STAU1	20:49115868-49113338	IR	2	2	-	ENST00000340954	68.92	1.50580e-01	1.50580e-01	41.6666666666667|4.16666666666667	96.7213114754098|86.9565217391304	20_49115868_49113338_R_ENST00000340954_1
20:49113523-49114893	STAU1	20:49115868-49113340	IR	2	2	-	ENST00000340954	68.87	1.51075e-01	1.51075e-01	41.6666666666667|4.16666666666667	96.6101694915254|86.9565217391304	20_49115868_49113340_R_ENST00000340954_1
8:47778459-47778660	PRKDC	8:47778800-47778536	IR	2	2	-	ENST00000521331	68.22	8.52321e-02	8.52321e-02	20|38.4615384615385	97.8021978021978|97.1014492753623	8_47778800_47778536_R_ENST00000521331_1
1:119737267-119743885	PHGDH	1:119742807-119743044	MES	2	2	-	ENST00000369407	63.90	2.48568e-01	2.48568e-01	3.17460317460317|14.0350877192982	100|45	1_119737267_119743885_W_ENST00000369407_3
3:48467798-48469186	SHISA5	3:48469574-48467876	IR	2	2	-	ENST00000296444	62.95	5.04606e-02	5.04606e-02	16.6666666666667|26.6666666666667	84.6153846153846|84.6153846153846	3_48469574_48467876_R_ENST00000296444_1
3:48467798-48469186	SHISA5	3:48469574-48467875	IR	2	2	-	ENST00000296444	62.95	5.04606e-02	5.04606e-02	16.6666666666667|26.6666666666667	84.6153846153846|84.6153846153846	3_48469574_48467875_R_ENST00000296444_1
3:48467798-48469186	SHISA5	3:48469574-48467869	IR	2	2	-	ENST00000296444	62.31	4.76278e-02	4.76278e-02	16.6666666666667|26.6666666666667	83.3333333333333|84.6153846153846	3_48469574_48467869_R_ENST00000296444_1
20:17954130-17954223	SNX5	20:17955476-17953995	IR	2	2	-	ENST00000469704	62.29	2.61200e-02	2.61200e-02	33.3333333333333|21.0526315789474	92.8104575163399|86.1538461538462	20_17955476_17953995_R_ENST00000469704_1
