Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
19:19645198-19645790	ATP13A1	19:19645986-19645646	IR	2	2	-	ENST00000467160	82.31	2.65787e-02	2.65787e-02	0|20	100|84.6153846153846	19_19645986_19645646_R_ENST00000467160_1
17:81845681-81845991	P4HB	17:81846508-81845680	IR	2	2	-	ENST00000474712	80.45	7.21381e-03	7.21381e-03	9.09090909090909|0	90|80	17_81846508_81845680_R_ENST00000474712_1
16:2975749-2975812	PKMYT1	16:2976825-2975318	IR	2	2	-	ENST00000572059	80.19	7.51842e-03	7.51842e-03	21.0526315789474|11.4285714285714	92.8571428571429|100	16_2976825_2975318_R_ENST00000572059_1
19:18994598-18995280	SUGP2	19:18995281-18994365	IR	2	2	NMD	ENST00000598240	79.16	1.25073e-02	1.25073e-02	15.7894736842105|18.75	100|92.8571428571429	19_18995281_18994365_R_ENST00000598240_1
2:152679056-152679109	PRPF40A	2:152679473-152679055	IR	2	2	-	ENST00000448428	74.92	4.18693e-02	4.18693e-02	0|5.88235294117647	70|85.7142857142857	2_152679473_152679055_R_ENST00000448428_1
3:52405811-52405912	BAP1	3:52405913-52405109	IR	2	2	-	ENST00000471532	74.54	9.56762e-02	9.56762e-02	15.3846153846154|10.5263157894737	75|100	3_52405913_52405109_R_ENST00000471532_1
1:44214833-44218469	DMAP1	1:44214899-44215305	IR	2	2	-	ENST00000488433	73.01	6.54111e-02	6.54111e-02	18.1818181818182|20	100|84.2105263157895	1_44214899_44215305_R_ENST00000488433_1
14:24182817-24182842	IPO4	14:24183170-24182791	IR (overlapping region)	2	2	-	ENST00000560935	71.77	6.79324e-02	6.79324e-02	9.09090909090909|8.33333333333333	88.2352941176471|72.7272727272727	14_24183170_24182791_R_ENST00000560935_1
2:152679056-152679109	PRPF40A	2:152679110-152677450	IR	2	2	-	ENST00000448428	71.67	9.60498e-03	9.60498e-03	16.6666666666667|10	86.6666666666667|83.3333333333333	2_152679110_152677450_R_ENST00000448428_1
2:152679056-152679109	PRPF40A	2:152679473-152677450	IR	2	2	-	ENST00000448428	71.53	2.60985e-02	2.60985e-02	8.69565217391304|0	68.4210526315789|83.3333333333333	2_152679473_152677450_R_ENST00000448428_1
6:43512466-43513633	YIPF3	6:43513634-43513213	IR (overlapping region)	2	2	NMD	ENST00000460547	71.10	7.50175e-02	7.50175e-02	7.69230769230769|25	86.6666666666667|88.2352941176471	6_43513634_43513213_R_ENST00000460547_1
22:45195828-45197216	KIAA0930	22:45197949-45196748	IR	2	2	-	ENST00000251993	70.82	2.94767e-02	2.94767e-02	14.8148148148148|30	89.0909090909091|97.3684210526316	22_45197949_45196748_R_ENST00000251993_1
19:42250444-42250565	ERF	19:42255108-42250129	IR (overlapping region)	2	2	-	ENST00000595941	70.45	6.14171e-02	6.14171e-02	36.3636363636364|22.7272727272727	100|100	19_42255108_42250129_R_ENST00000595941_1
2:27035520-27036052	TMEM214	2:27035729-27035969	IR	2	2	-	ENST00000475258	70.34	1.07653e-01	1.07653e-01	0|0	58.3333333333333|82.3529411764706	2_27035729_27035969_R_ENST00000475258_1
10:102424031-102424394	CUEDC2	10:102424179-102423797	IR	2	2	-	ENST00000477994	70.26	4.35574e-02	4.35574e-02	14.2857142857143|31.25	89.2857142857143|96.7741935483871	10_102424179_102423797_R_ENST00000477994_1
19:46727907-46728007	STRN4	19:46728008-46725472	IR	2	2	-	ENST00000594847	69.98	5.89073e-03	5.89073e-03	23.0769230769231|15.3846153846154	86.1111111111111|92.3076923076923	19_46728008_46725472_R_ENST00000594847_1
22:45195828-45197216	KIAA0930	22:45197949-45197105	IR	2	2	-	ENST00000251993	69.73	3.72657e-02	3.72657e-02	11.5384615384615|30	85|96	22_45197949_45197105_R_ENST00000251993_1
17:64503441-64503571	DDX5	17:64503685-64503187	IR	2	2	-	ENST00000577922	69.31	1.33791e-02	1.33791e-02	10|21.4285714285714	80.7692307692308|89.2857142857143	17_64503685_64503187_R_ENST00000577922_1
19:46727907-46728007	STRN4	19:46728316-46727451	IR	2	2	-	ENST00000594847	68.52	4.24258e-02	4.24258e-02	16.6666666666667|26.6666666666667	89.4736842105263|90.9090909090909	19_46728316_46727451_R_ENST00000594847_1
2:38581075-38581985	HNRNPLL	2:38581986-38577460	IR	2	2	-	ENST00000410076	67.82	1.60098e-01	1.60098e-01	10|0	53.3333333333333|92.3076923076923	2_38581986_38577460_R_ENST00000410076_1
2:38581075-38581985	HNRNPLL	2:38581981-38577460	IR	2	2	-	ENST00000410076	67.82	1.60098e-01	1.60098e-01	10|0	53.3333333333333|92.3076923076923	2_38581981_38577460_R_ENST00000410076_1
2:38581075-38581985	HNRNPLL	2:38581986-38577919	IR	2	2	-	ENST00000410076	67.70	6.52764e-02	6.52764e-02	27.2727272727273|0	70.3703703703704|92.3076923076923	2_38581986_38577919_R_ENST00000410076_1
17:82096403-82096447	FASN	17:82097325-82096414	IR	2	2	-	ENST00000635733	67.69	3.01649e-02	3.01649e-02	3.84615384615385|16.6666666666667	86.6666666666667|69.2307692307692	17_82097325_82096414_R_ENST00000635733_1
