Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
17:28633686-28634086,KIAA0100,17:28634087-28633548,IR (overlapping region),2,2,-,ENST00000581064,82.0,0.00585573,0.00585573,18.75|17.2413793103448,100|100,17_28634087_28633548_R_ENST00000581064_1,IR
8:143991692-143992373,GRINA,8:143992079-143992244,IR (overlapping region),2,2,-,ENST00000525513,55.31,0.000687008,0.000687008,18.9189189189189|20.9302325581395,76.271186440678|74.1935483870968,8_143992079_143992244_R_ENST00000525513_1,IR
2:175176258-175178402,ATP5MC3,2:175179251-175178144,IR,2,2,-,ENST00000284727,52.61,0.00719252,0.00719252,10.6382978723404|15.3846153846154,68.75|62.5,2_175179251_175178144_R_ENST00000284727_1,IR
17:44322422-44322528,SLC25A39,17:44322446-44321699,IR,2,2,-,ENST00000586633,45.71,0.00994637,0.00994637,25|25,71.4285714285714|70,17_44322446_44321699_R_ENST00000586633_1,IR
8:143991692-143992373,GRINA,8:143991950-143992244,IR (overlapping region),2,2,-,ENST00000525513,33.12,0.00395928,0.00395928,51.6129032258064|50,83.5294117647059|84.3137254901961,8_143991950_143992244_R_ENST00000525513_1,IR
6:44254096-44255644,SLC35B2,6:44256497-44254101,IR,2,2,-,ENST00000393810,33.12,0.00509202,0.00509202,3.44827586206897|0,36.3636363636364|33.3333333333333,6_44256497_44254101_R_ENST00000393810_1,IR
6:44254096-44255644,SLC35B2,6:44256497-44254095,IR,2,2,-,ENST00000393810,33.12,0.00509202,0.00509202,3.44827586206897|0,36.3636363636364|33.3333333333333,6_44256497_44254095_R_ENST00000393810_1,IR
5:177306177-177306421,PRELID1,5:177306177-177306188,A5SS,2,2,-,Ex.TSS.ENST00000303204,28.8,0.00509285,0.00509285,0|0,29.0322580645161|28.5714285714286,5_177306177_177306421_S_Ex.TSS.ENST00000303204_1,A5SS
9:137112963-137113119,DPP7,9:137113288-137112816,IR,2,2,-,ENST00000478597,28.17,0.00460032,0.00460032,61.1111111111111|61.9047619047619,88.8888888888889|90.4761904761905,9_137113288_137112816_R_ENST00000478597_1,IR
12:48923939-48924256,FKBP11,12:48924649-48924222,IR (overlapping region),2,2,-,ENST00000549084,24.59,0.00569979,0.00569979,0|2.12765957446809,26.3157894736842|25,12_48924649_48924222_R_ENST00000549084_1,IR
20:62387611-62388520,RPS21,20:62388365-62388456,IR,2,2,-,ENST00000370562,22.78,0.00843012,0.00843012,8.20717131474104|11.0773899848255,31.3796212804328|33.4637964774951,20_62388365_62388456_R_ENST00000370562_1,IR
X:153785766-153785973,IDH3G,X:153786450-153785797,IR,2,2,-,ENST00000217901,22.74,0.00436145,0.00436145,70.5882352941177|72.7272727272727,93.3333333333333|95.4545454545455,X_153786450_153785797_R_ENST00000217901_1,IR
6:85677589-85677658,SNORD50B,6:85677869-85677423,IR,2,2,-,ENST00000364995,21.29,0.00178126,0.00178126,28.5714285714286|29.7872340425532,50.9433962264151|50,6_85677869_85677423_R_ENST00000364995_1,IR
3:32449553-32452391,CMTM7,3:32452066-32452391,A3SS,2,2,-,ENST00000454304,20.94,0.00333306,0.00333306,0|0,21.0526315789474|20.8333333333333,3_32449553_32452391_S_ENST00000454304_1,A3SS
6:85677589-85677658,SNORD50B,6:85677900-85677423,IR,2,2,-,ENST00000364995,20.09,0.00848066,0.00848066,32.2033898305085|34,52.7272727272727|53.6585365853659,6_85677900_85677423_R_ENST00000364995_1,IR
2:241637761-241651009,ATG4B,2:241637761-241639130,A5SS,2,2,-,Ex.TSS.ENST00000430617,-23.21,0.0035172,0.0035172,23.0769230769231|23.3333333333333,0|0,2_241637761_241651009_S_Ex.TSS.ENST00000430617_2,A5SS
2:241637725-241651009,ATG4B,2:241637725-241639130,A5SS,2,2,-,Ex.TSS.ENST00000400771,-23.21,0.0035172,0.0035172,23.0769230769231|23.3333333333333,0|0,2_241637725_241651009_S_Ex.TSS.ENST00000400771_2,A5SS
19:12939236-12940052,CALR,19:12939428-12939631,SES,2,2,-,ENST00000316448,-23.43,0.00736879,0.00736879,68.8073394495413|71.1538461538462,48|45.0980392156863,19_12939236_12940052_W_ENST00000316448_1,Exon Skipping
X:101345661-101346660,TIMM8A,X:101348576-101345783,IR,2,2,-,ENST00000372902,-31.13,0.00146005,0.00146005,75|76.4705882352941,45.4545454545455|43.75,X_101348576_101345783_R_ENST00000372902_1,IR
1:1311600-1311924,INTS11,1:1312148-1311822,IR,2,2,-,ENST00000323275,-32.63,0.00651804,0.00651804,78.5714285714286|75,42.8571428571429|45.4545454545455,1_1312148_1311822_R_ENST00000323275_1,IR
2:74474102-74474802,CCDC142,2:74475116-74472568,IR,2,2,-,ENST00000290418,-36.92,0.00377585,0.00377585,92.8571428571429|93.75,56.25|56.5217391304348,2_74475116_74472568_R_ENST00000290418_1,IR
4:53460456-53461042,LNX1,4:53461594-53459300,IR (overlapping region),2,2,-,ENST00000263925,-47.92,0.00542033,0.00542033,65|66.6666666666667,18.1818181818182|17.6470588235294,4_53461594_53459300_R_ENST00000263925_1,IR
