Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
17:6450028-6450595,PIMREG,17:6450073-6450361,IR,2,2,-,ENST00000571572,54.67,4.25296e-05,4.25296e-05,39.1304347826087|39.3939393939394,94.1176470588235|93.75,17_6450073_6450361_R_ENST00000571572_1,IR
2:178450079-178450411,PRKRA,2:178451114-178450241,IR,2,2,-,ENST00000463882,48.08,0.0079223,0.0079223,12.1212121212121|5.88235294117647,54.1666666666667|60,2_178451114_178450241_R_ENST00000463882_1,IR
16:67830905-67831358,CENPT,16:67831359-67829422,IR (overlapping region),2,2,NMD,ENST00000562462,45.4,0.00706392,0.00706392,26.4705882352941|32,77.2727272727273|72,16_67831359_67829422_R_ENST00000562462_1,IR
19:1088163-1088720,POLR2E,19:1089574-1088162,IR,2,2,NMD,ENST00000215587,44.94,0.00865086,0.00865086,23.3333333333333|17.2413793103448,62.7118644067797|67.741935483871,19_1089574_1088162_R_ENST00000215587_1,IR
2:71068978-71071827,NAGK,2:71070840-71071685,IR,2,2,-,ENST00000489309,42.29,0.00892322,0.00892322,15.7894736842105|17.6470588235294,57.1428571428571|60.8695652173913,2_71070840_71071685_R_ENST00000489309_1,IR
16:75229030-75230023,BCAR1,16:75233936-75229454,IR,2,2,-,ENST00000162330,42.26,0.00228208,0.00228208,20|17.3913043478261,60|61.9047619047619,16_75233936_75229454_R_ENST00000162330_1,IR
16:75229030-75230023,BCAR1,16:75233936-75229452,IR,2,2,-,ENST00000162330,42.26,0.00228208,0.00228208,20|17.3913043478261,60|61.9047619047619,16_75233936_75229452_R_ENST00000162330_1,IR
3:52405811-52405912,BAP1,3:52406908-52405810,IR,2,2,-,ENST00000471532,42.19,0.00189077,0.00189077,8|10.2564102564103,52.6315789473684|50,3_52406908_52405810_R_ENST00000471532_1,IR
16:75229030-75230023,BCAR1,16:75233936-75229510,IR,2,2,-,ENST00000162330,39.08,0.00981993,0.00981993,20|17.3913043478261,60|55.5555555555556,16_75233936_75229510_R_ENST00000162330_1,IR
17:82445463-82445960,CYBC1,17:82446693-82445863,IR,2,2,-,ENST00000578064,34.84,0.00227143,0.00227143,21.7391304347826|20,55.1724137931034|56.25,17_82446693_82445863_R_ENST00000578064_1,IR
17:82445463-82445960,CYBC1,17:82446697-82445863,IR,2,2,-,ENST00000578064,34.13,0.00956381,0.00956381,21.7391304347826|20,56.6666666666667|53.3333333333333,17_82446697_82445863_R_ENST00000578064_1,IR
1:161176849-161178013,PPOX,1:161177150-161176433,IR (overlapping region),2,2,NMD,ENST00000495483,32.96,0.00333227,0.00333227,5.88235294117647|6.66666666666667,38.4615384615385|40,1_161177150_161176433_R_ENST00000495483_1,IR
